Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;"But the analysis of the data is weak, and the paper remains largely descriptive. Would suggest to use these case studies as a source of ideas on how policies and cluster initative management migth relate to each other; that would make this a more interesting paper."
Reviewer 1;Author;1;2;0;"Ultimately there is then also the question of how this interaction affects performance and what policy implications the authors see (should policies be changed; should cluster initiative managers make different choices; can they if policies are given)."
Reviewer 1;Author;1;3;0;"The conceputal framework (figure 1) is very similar to the 'cluster initiative performance model' in the Cluster Initiative Greenbook (Solvell et al., 2003), adding the hypothesis that there might be an interaction between policy context and management and being somewhat more narrow on the elements included. There are also existing reviews of cluster policies in Europe that should be considered (Clusters are Individuals, 2012, BMWi; VDI/VDE; Dasti). There is also a growing literature on cluster initiative management in Europe (see the EU's ""Excellence Initiative' with the benchmarking of cluster initiatives) that should be considered."
Reviewer 1;Author;1;4;0;"The language the authors use is here a bit imprecise - they seem to be talking about the management of cluster initiatives, not about the management of the policies themselves (which is more a question of how the program oversight is organized within government; also an interesting but different question)."
Author;Reviewer 1;2;1;1;We fundamentally reorganized our manuscript so that its story and structure might be much clearer in the revision. In Section 2.2 we explicitly presented three hypotheses that are tested and discussed in later sections using information on six cluster cases. Section 5 also was reorganized so that the relationship of local cluster management to basic conditions and to national cluster polity, respectively, could be tested for each country using some cases of clusters and cluster management.
Author;Reviewer 1;2;2;3;We revised and simplified Figure 1 by deleting cluster performance and its relationships with other factors because in fact we do not address them in our manuscript.
Author;Reviewer 1;2;3;3;We read and cited in our manuscript the suggested and other references that correspond to [25], [31], [32], [33], [34], [35] and [36] (especially in Section 2.2) in revising our conceptual framework.
Author;Reviewer 1;2;4;4;This manuscript addresses the relationship of national cluster policy and its local implementation, and not the policy organization within the government. Therefore, we slightly changed the titles of the manuscript and Section 5, and revised related terms throughout the manuscript, using the terms such as “local implementation” or “local management”.
Reviewer 2;Author;1;1;0;However, it remains predominantly descriptive in its present state, and does not seek to explain the differences found in both countries. When revising the paper, the authors are advice to add a theoretical/conceptual frame that allows them to strengthen the paper’s explanatory value.
Reviewer 2;Author;1;2;0;However, the conceptual framework appears simplistic, technocratic and static, and it is not sufficiently rooted in literature as evident from the scarcity of references in section 2.2.
