Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;Why Jung? The authors have selected Jung’s archetypes as the theoretical foundation for the paper. While Jungian approaches have been used by marketing and consumer researchers in the past (e.g., Hirschman), the reasons for this choice need to be justified in the context of other alternatives. Jungian approaches suffer from two core limitations: (a) the assertion of universality – which the authors note, and (b) the psychoanalytic heritage of the ideas (which presupposes a certain view of motivation) is disavowed by most contemporary psychologists.
Reviewer 1;Author;1;2;0;"Literary archetypes: An alternative approach to studying the archetypal aspects of brand image can be found by scholars who adopt a literary or cultural view of archetypes, such as the ones advanced by Joseph Campbell or Northrop Frye (see, for example: Stern 1989). One could make the argument that using archetypes in advertising has greater affinities to mythology, literature and communications. Work on narrative theory and characterization in advertising also aligns with the archetype approach (see, for example: Mulvey and Medina 2003; Padgett and Allen 1997; Scott 1994; Stern 1988). This paper’s potential impact will be enhanced if it can find a way to align itself with this growing branch of advertising research."
Reviewer 1;Author;1;3;0;The abstract states: “Aaker is seen by many as the branding guru” and refers to Aaker (1997) in the introductory paragraph. Are you referring to David Aaker (the father) or Jennifer Aaker (the daughter)?
Reviewer 1;Author;1;4;0;Indeed, Aaker (1997) is a highly-cited work. Are there any other limitations or criticisms the reader should be informed of? There has been some backlash to the application of brand personality to inanimate objects. This may be of concern, because the paper uses hotels as an example. Personally, I agree with you – brand personality is a key facet of brand identity. However, you may want to tell readers how brands can convey aspects of personality via advertising (see: Allen and Olson 1995). This is highly relevant to answering the “so what?” question that is addressed in the implications section.
Reviewer 1;Author;1;5;0;Page 2, line 62: I disagree with the claim that “above models can be seen as extensions of Aaker’s (1997) brand personality model.” The models you listed are variants of well-known hierarchy of effects models. Aaker’s approach is nested within these – it specifies a way brands can establish relevance in the eyes of consumers (via establishing a human identity or character).
Reviewer 1;Author;1;6;0;Though the paper is exploratory, I am not convinced that it aligns with the “grounded theory” tradition. Grounded theory is based on the idea of immersion in data to induct new conceptual categories. I see the present study as using existing typologies and categories – there are no new concepts that emerge from the research that can be applied directly to future research.
Reviewer 1;Author;1;7;0;Sample size: A critical view would state that the present research relies on a very small sample of advertisements (n=2) to make its claims. After all, the research focuses on the capacity of an ad to convey archetypal and personality-based aspects of brand identity. The results would have been more compelling if the study measured the impact of ad campaigns (sets of related ads) in delivering a consistent (reliable) impression. Though such studies are rare, good interpretive and quantitative examples can be found in the literature. At a minimum, this exploratory paper should set a more specific and ambitious plan for systematic future research on the topic. For example, Padgett and Mulvey (2007) illustrate a method to identify personal values conveyed by 16 ad campaigns (another complementary dimension of personified brands) and Padgett and Mulvey (2009) demonstrate a novel way to characterize customer-brand relationship archetypes. Imagine a conversation with these authors: what do you contribute to the ongoing conversation?
Reviewer 1;Author;1;8;0;Evidence of claim? Page 4, line 124 states: “European students did not know these two hotel chains and therefore were not pre-conditioned in any way. In contrast the 55 Asian students knew the chains.” Was brand familiarity actually measured, or was it assumed? The claim is very absolute – I wonder if any of them ever travelled internationally – presumably EMBAs would be more worldly or cosmopolitan than this…
Reviewer 1;Author;1;9;0;"Figure 3: Because you are studying commercials (which unfold over time), I don’t think the single screenshots really add much value to the paper. However, if you included a storyboard (set of screenshots) for each ad, that would help the reader (for examples, see: Mulvey and Medina 2003; Scott 1994)."
Reviewer 1;Author;1;10;0;Clarity and elaboration of Page 5+: The methods section lacks clarity – it would be very difficult for a researcher to replicate the procedure. Please provide greater detail of the scales used, the anchor terms, and how the survey/rating task was administered (online? Paper and pencil?).
