Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;A catchy topic, but its content  is unoriginal, bringing nothing new to the pre-pandemic science. 
Reviewer 1;Author;1;2;0;It seems that the authors of this study have already tackled this topic exhaustively in their previous articles.
Reviewer 1;Author;1;3;0;The entire first paragraph of Discussion repeats what has already been written in earlier chapters (line 372-379).
Reviewer 1;Author;1;4;0;"Line 382-384   „To our  knowledge, this is the first empirical evidence to show a link between changes in dogs’  leaving routines and risk of SRBs.” The authors have hardly studied all the publications on how dogs behave when daily routines were changed, so the term ""first study"" is exaggerated."
Reviewer 1;Author;1;5;0;Line 444 „This study has provided a unique and valuable insight into…..”  the authors also mark their only unique role in the study, which does not bring new content.
Reviewer 1;Author;1;6;0;Final decision: reject.
Reviewer 2;Author;1;1;0;Abstract/simple summary: These are clear and well detailed. My only suggestion is that making it clear why February and October were chosen as survey-points may be beneficial.
Reviewer 2;Author;1;2;0;Introduction: This is clear and in general provides a good background to the topic (bar a couple of points where more expansion would be beneficial).
Reviewer 2;Author;1;3;0;"Aa little more mention of issues of SRBs from owner perspective (e.g. noise complaints and issues with housing; property damage; decline of human-pet bond) could be beneficial (line 56-57)."
Reviewer 2;Author;1;4;0;It may be helpful to discuss why there is poor owner adherence to programmes to reduce SRB (Line 66-67).
Reviewer 2;Author;1;5;0;I wasn't sure if line 79-80 was needed- about dogs having returned to pre-pandemic pattern,  I think it is a little dismissive of your own research which is valuable and applicable beyond the pandemic.
Reviewer 2;Author;1;6;0;Line 96-97- some more detail on the findings of these various surveys would be beneficial similarly to Bowen's study, just so provide a clear background/discussion of literature setting scene for your study.
Reviewer 2;Author;1;7;0;Methods: This is generally well-detailed. It may be beneficial to make it clear why cut off of 'at least 5 mins' was used, e.g. justification for this/why this time duration used.
Reviewer 2;Author;1;8;0;Line 131: There was an error with referencing wanted to flag.
Reviewer 2;Author;1;9;0;Study periods: It may be useful to spell out a little more here why these survey periods were chosen here, this is covered elsewhere but think could be made clearer here and earlier.
Reviewer 2;Author;1;10;0;Figure 1- Perhaps just double-check this is referred to in the text. Think either way this figure would benefit a bit of context on why was included/what was showing in context of this study as currently info is a bit generic and didn't totally tie into people's working from home etc.
Reviewer 2;Author;1;11;0;Results: These were generally well-detailed with clear layout considering scope of results. However, I don't think the figures were referred to in the text (unless that was the errors highlighted below?)
Reviewer 2;Author;1;12;0;"There were some errors where reference source not found  which would want to look into (line 246; 265; 274; 292; 305; 323 etc)."
Reviewer 2;Author;1;13;0;Line 366-369= I'm not sure it's totally fair to interpret this (the dog not always bringing toy when greeting them) as an anthropomorphic interpretation on the part of the owner
Reviewer 2;Author;1;14;0;Discussion: The results are appropriately discussed though perhaps more discussion about further study would be beneficial.
Reviewer 2;Author;1;15;0;I felt the discussion about changes in greeting behaviour as an early indicator was interesting and could be expanded.
Reviewer 2;Author;1;16;0;Some more detail on the application of the findings to practitioners/owners would be beneficial. 
Reviewer 3;Author;1;1;0;"P1 L29 and P3 L112 the present tense “reduce” sounds strange to me here. I would suggest 
“reduced” since you are looking at changes that have already occurred"
Reviewer 3;Author;1;2;0;P6 L176 I am assuming you excluded dogs that were not left alone in February (or were there none?) 
Reviewer 3;Author;1;3;0;"P10 L307-308 Could you make this a positive statement to show highlight the impact of amount of 
change on SRB: Dogs whose days left alone per week increased the most…If the data support that 
angle, I think it’s a stronger statement than what is written. "
Reviewer 3;Author;1;4;0;"Larger issues: I would like to see the authors address a few different angles in the discussion 
1. That dogs showing SRB prior to lockdown were more likely to show it after. Suggests the behavior 
is fairly robust and dogs having shown it at one point continue to be at risk (without knowing what 
interventions were taken) "
Reviewer 3;Author;1;5;0;"Can you address the dogs that improved between Feb and Oct? You report the number of new 
dogs showing SRB but can you report on dogs that went the other way? What was the actual # and 
%? This comparison seems essential—if some dogs get worse but some get better, than the 
argument that changes due to COVID might bring about new SRB becomes weaker. It seems you 
have compared within dogs that showed SRB in baseline and other models for dogs that did not. 
Seems a comparison between SRB- (baseline) → SRB + (post lockdown) and SRB + (baseline) → SRB- 
(post lockdown) dogs is critical and missing."
Reviewer 3;Author;1;6;0;"One of the challenges in this is we don’t know background rates of change for dogs with SRB. That 
is, would the same % of dogs changed (in either direction) regardless of changes in owner 
schedules? We might see some dogs become sensitized over time and develop SRB (or something 
else changes in their life to precipitate it), while others might habituate or their behavior undergo 
extinction. As such, we can’t say for certain that these changes are due to changes in owner schedule. You note that the pseudo-R2 was small but I think you could go into more details and note 
the possibility that it was unrelated too. However, your results that the greater the change → the 
greater the new risk of SRB does lend support to the idea that this change in management might be 
a factor. I would suggest highlighting and discussing this outcome more.
"
Reviewer 4;Author;1;1;0;"Title: change “Leaving Pattern” to “Time Spent Away”; leaving pattern is less clear (it could be frequency of leaving each day)"
Reviewer 4;Author;1;2;0;Line 27: change “reduced” to “decreased”.
Reviewer 4;Author;1;3;0;Line 29: change “dogs whose leaving hours reduce most” to “dogs whose time left alone decreased most”.
Reviewer 4;Author;1;4;0;Line 30: change “leaving hours increase again” to “time left alone increased again”.
Reviewer 4;Author;1;5;0;Line 214: if possible (might not be possible if this was how it was phrased in the survey), change “different to before” to “different from before”.
Reviewer 4;Author;1;6;0;Lines 383-384: Change “dogs’ leaving routines” to “dogs’ time left alone”.
Reviewer 4;Author;1;7;0;Line 151: how was the criterion of “at least 5 minutes” chosen? My main question when reading this section concerned how owners would know that certain separation-related behaviors occurred when they were away? 
Reviewer 4;Author;1;8;0;Also, I might have missed it, but did all of these owners live alone with their dog(s), meaning no other people in the household? If other people were present, did all of them have to be away or just the dog’s owner? This information might be presented in your other paper, but it would be good to include this basic information here as well, so readers can better understand your methods and findings.
Reviewer 4;Author;1;9;0;Line 166: define “devolved nations” for readers unfamiliar with the term.
Reviewer 4;Author;1;10;0;Figure 2: should the blank box for “Feb, Not at all” be 0.0%?
Reviewer 4;Author;1;11;0;Figure 4 is not called out in the text of the Results section.
Reviewer 4;Author;1;12;0;I believe Animals requires a Conclusions section.
Reviewer 4;Author;1;13;0;Line 35: insert “of” after 9.9%
Reviewer 4;Author;1;14;0;Line 100: insert “the” after “in”
Reviewer 4;Author;1;15;0;An error message occurred in several places (e.g., line 131, line 246, line 265).
Reviewer 4;Author;1;16;0;Line 148: change “focusses” to “focuses”.
Reviewer 4;Author;1;17;0;Line 355: delete the first “the”.
Reviewer 4;Author;1;18;0;Line 461: change “onto” to “on to”.
Reviewer 5;Author;1;1;0;However, currently, the paper seems too long, and it goes into too much detail about how the pandemic took place in the UK.
