Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;However, the authors need to compare their findings to other research evidence showing impaired EIH and/or descending inhibition in patients with FM - especially considering that their results did not support EIH in the controls.
Reviewer 1;Author;1;2;0;The authors merely mention that the exercise stimulus may have been insufficient for the controls to show EIH without critically discussing what such a conclusion would mean (eg, FM patients have better EIH mechanisms than the controls).
Reviewer 1;Author;1;3;0;Also, the discussion section should be revised to acknowledge that many patients with FM would have been excluded from participation in this study due to major depression and medication consumption so there may be concerns about the generalizability of the sample, BUT the authors appropriately compared the Fibromyalgia Impact Questionnaire scores of their sample to normative data and found no significant difference.
Reviewer 1;Author;1;4;0;In addition, the authors might want to consider and mention that their method of controlling “physiological noise” might have influenced the results because cardiovascular reactions to exercise were, at one time, proposed to be a mechanism of EIH.
Reviewer 1;Author;1;5;0;P. 1, L. 40 – I don’t see that the reference actually includes studies of activities of daily living so the authors should revise the sentence or add an appropriate reference.
Reviewer 1;Author;1;6;0;P. 2, L. 18 – A reference for the determination that a dosage of antidepressants was “high” should be provided.
Reviewer 1;Author;1;7;0;P. 3, L. 2 – Each temperature was applied twice so I assume the averages were used, but the authors should clarify.
Reviewer 1;Author;1;8;0;P. 3, L. 15 – The time post-exercise before scanning was provided, but not the time post-quiet rest.
Reviewer 1;Author;1;9;0;P. 6, L. 5 – “Elevations” should be revised to “higher” so that readers do not erroneously believe that a pre-scan application of heat stimuli was administered.
Reviewer 1;Author;1;10;0;P. 6, L. 12 - I am uncertain why the authors only report the effect sizes of group differences for the first run.s
Reviewer 2;Author;1;1;0;Changes in pain sensitivity after exercise versus rest were significantly correlated with changes in activity in DLPFC (exercise vs. rest). However, in the latter case the authors need to address the issue of multiple correlations.
Reviewer 2;Author;1;2;0;Nine individuals in each group were included in neuroimaging analyses, this should be indicated in the abstract.
Reviewer 2;Author;1;3;0;"In table 3 the subheading ""Peak X, Y, X"" needs correction."
