Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;The authors used the term liposome nanotraps. The authors have used conventional liposome preparations. It is not clear why they are calling the preparations as the nanotraps.
Reviewer 1;Author;1;2;0;The authors have used bacterial culture supernatants to examine the cytotoxic effect on the THP-1, Jurkat, and Raji cell lines. Quantitation fo the the culture medium is required (by measuring the total protein content, or by providing some quantitative indicator). Volume of the culture supernatant is mentioned in the results. It is not quantitative, and will vary from batch to bath of the bacterial culture.
Reviewer 1;Author;1;3;0;LDH-release assay of cytotoxicity or MTT assay of cell viability should have been used for measuring the cell death.
Reviewer 1;Author;1;4;0;It is well-known that SLO binds to the cholesterol-containing lipid bilayer. Therefore, it is obvious that the cholesterol-containing liposomes would neutralise SLO present in the bacterial culture. Therefore, no new information is provided with these experiments.
Reviewer 1;Author;1;5;0;It appears that the cholesterol-containing liposomes provide partial protection against the GGS supernatant. This is an interesting observation. However, authors did not make any attempt to explore this aspect in mechanistic detail.
Reviewer 1;Author;1;6;0;In my opinion, differential inhibition of the SLS activity in GGS supernatant by the liposome preparations is interesting, and may provide new insights, if explored in more detail.
Reviewer 2;Author;1;1;0;Although the sensitivity of immune cells to GAS or GGS supernatants is shown in the first section of the results, were any controls used in the neutralization assays with liposomes?
Reviewer 2;Author;1;2;0;In the material and methods section it is stated that the cells survival assays start with the addition of a fixed volume of supernatant but it is not clear to me the criteria for reflecting different amounts of supernatant in Figures 2 and 3. It should be explained more clearly. What is the reason for using different amounts of supernatant with cytolysins depending on its source or the type of cell line it is tested against in figures 2 and 3? This should be explained. Furthermore, it should be justified why this difference does not influence the comparison of the results with the different cell lines (THP1, Jurkat, Raji).
Author;Reviewer 1;2;1;1;Indeed, the liposomes are prepared by a conventional method. However, here and in our previous work [1] we use the term liposomal nanotraps to reflect the functional aspect of the liposomal action. In this context, the liposomes act as traps for bacterial toxins.
Author;Reviewer 1;2;2;2;"We verified the total protein content of the supernatants by Coomassie blue staining, which was similar for all strains (Figure. 1, for referee inspection only). The experiments were performed using different bacterial supernatant batches and results were remarkably consistent. All the supernatants were collected at the exact same bacterial culture’s optical density to harvest the bacteria in a comparable state between batches and strains. In our previous work we have shown that cholesterol-dependent cytolysins (SLO, PLY) displayed different kinetics and dynamics of their hemolytic activity compared to SLS. As a result, the total hemolytic activities of individual streptococcal supernatants were not represented by a simple sum of activities (concentrations) of their individual toxins but displayed more complex time- and amount-dependent behavior: e.g. – the activity of PLY/SLO was prevalent at the initial times of incubation and at relatively high amounts (volume) of supernatants, whereas SLS activity fully developed only after initial lag period but was prevalent when relatively low amounts of supernatants were used in the assays. The relative quantifications of toxins between streptococcal species and strains were performed in a previous publication [1] and are referred to throughout the manuscript. We added a paragraph in the result section (line 215-222) that summarizes those points.
 Moreover, in our current experiments we aim not only at the neutralization of the whole hemolytic secretome of streptococcus (as described in [1]) but also include (putative) cytotoxic/cytostatic activities that might be carried out either by hemolysins (SLO/SLS) or other not yet identified toxins that display cytotoxic/cytostatic but no hemolytic activities.
 For these reasons, in our current experiments, we use specific cytotoxic/cytostatic activities of total supernatants derived from a toxicity assay displayed in (Figure. 1), instead of concentrations of individual (partly unknown) toxins.
 However, we agree with the reviewers that using volume units is confusing. We therefore, edited our manuscript to display the lethal dose (LD%) interpolated from results shown in Figure 1 instead. Using LD% units accounts for the batch variability."
