Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;Please add information on the number of additions for different transform types and sizes in original and proposed variants.
Reviewer 2;Author;1;1;0;Keywords : We suggest that the authors should replace keywords such as “video coding” and “transform” because these keywords are already found in the article title. It is better that they replace them with other keywords to increase the reach of the manuscript
Reviewer 2;Author;1;2;0;Introduction:The authors should add the main contributions briefly at the end of the introduction.
Reviewer 2;Author;1;3;0;Methodology Section: It should be structured, sub-headings should be added to facilitate tracking and understanding.
Reviewer 2;Author;1;4;0;The authors should add a section where they discuss comparing their results with those of existing research.
Reviewer 2;Author;1;5;0;Also, they should clarify the limitations of the proposed method. There is a lot of recent research out there that can be used for comparison. As this discussion and comparison can clarify the fairness and rationality of the results of the proposed method.
Reviewer 2;Author;1;6;0;Conclusions: Future directions should be added to the conclusion section.
Reviewer 2;Author;1;7;0;Figures and Tables: All figures and tables are shown before they are used in the text.
Reviewer 2;Author;1;8;0;The names of the researchers must follow the style of the journal format. 
Reviewer 2;Author;1;9;0;The double quotation should be omitted from the research titles in the list of references.
Reviewer 2;Author;1;10;0;Some search names in the reference list begin an uppercase letter for each word (such as [4], [5] ... etc.) and others use only an uppercase letter in the first word (such as [2], [9] … etc.), authors should standardize style. All journal names should be italic.
Reviewer 2;Author;1;11;0;Some references do not contain enough information such as [16], [18] … etc.
Reviewer 2;Author;1;12;0;Some links do not work in the reference list like [22] … etc.
Reviewer 2;Author;1;13;0;This article requires extensive proofreading. Authors should check the entire article to remove all extensive mistakes (grammatical and typos) and to improve English writing quality.
Author;Reviewer 1;2;1;1;According to reviewer’s comment, we added Equation (14), and Tables 3 and 4 on the number of additions for the VVC inverse transforms. 
Author;Reviewer 2;2;1;1;"According to the reviewer’s comment, we modified and added some keywords as follows:
We replaced “Keywords: VVC; HEVC; video coding; transform; computational complexity”
With “Keywords: VVC (Versatile Video Coding), HEVC (High Efficiency Video Coding, Linear 
Inverse Transform, computational complexity, DCT (Discrete Cosine Transform), Discrete 
Sine Transform (DST), BD-rate”"
Author;Reviewer 2;2;2;2;"According to the reviewer's comments, we updated the last paragraph of Section 1 as follows:
We replaced “Section 2 presents a proposed inverse transform using linearity to reduce the computational complexity.” With
“In Section 2.1, we introduce the transforms used in VVC. And we propose a fast inverse transform using linearity to reduce the computational complexity in Section 2.2.”"
Author;Reviewer 2;2;3;3;"According to the reviewer’s comment, we divided Section 2 as follows:
2. VVC Transforms and Proposed Method
2.1. Introduction to DCT-II, DST-VII, and DCT-VIII 
2.2. Propose Fast Inverse Transform Using Linearity "
Author;Reviewer 2;2;4;4,5;"According to the reviewer’s comment, we included the following sentence in the end of 3. Experimental Results section on page 11:
~~ “Fast encoding methods only in the encoder side were proposed to reduce the encoding 
complexity of VVC but all the fast encoding methods increased the BD-rates [29][30][31] in 
terms of the bit-rate reduction so that the proposed inverse transform using linearity in the 
decoder side differs from those approaches in that it keeps the BD-rate in VVC while reducing 
the decoding complexity. If the proposed inverse transform is applied to the VVC standard, 
the inverse transform of the VVC standard should be changed to include the proposed method. 
Therefore, the proposed method can be considered in the next-generation video coding 
standards because it reduces the decoding complexity while the BD-rate is maintained.” ~~ 
And three new references [29],[30], and [31] in Reference section were included."
Author;Reviewer 2;2;5;6;"According to the reviewer’s comment, we added the future directions in the conclusion section as follows:
“The proposed method can be considered in the next-generation video coding standards 
because it reduces the decoding complexity while the BD-rate is maintained.”
"
Author;Reviewer 2;2;6;7;"Only Table 6 was shown before it was used. So, we removed the word Table 6 in the following sentence:
~~. “Table 3 lists the percentages of horizontal and vertical transforms in VTM-8.2 for all test 
sequences in Table 6 which are to be explained in Section 3—at each Quantization …” ~~~"
