Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;Figures, however, need to be significantly improved for the final manuscript (see detailed comments below).
Reviewer 1;Author;1;2;0;"Figures.
Figure 1: Are colors in Figure 1 A related to the hydrostratigraphy or depicting topography? If the latter applies, make sure to provide a scale."
Reviewer 1;Author;1;3;0;Figure 2: The left spine (or border) does not appear on the pdf reviewed. This figure could be improved by adding shaded satellite image to help the reader compare the mapped drainage systems (which were automatically mapped) and fault traces/lineaments with the real features observed.
Reviewer 1;Author;1;4;0;Figure 3: The text (lines 258-259) mentions magnetic lineaments as prominent features, which can be caused by faulting. Such features are hard to visualize. It would certainly help if they were highlighted directly on the figure.
Reviewer 1;Author;1;5;0;Figure 4: This figure could go in the appendix. It is good to let the reader know that not all seismic surveys provided the same quality, but this is more a technical point.
Reviewer 1;Author;1;6;0;Figure 6: Put the title of each subfigure above the plot. It doesn’t read well otherwise.
Reviewer 1;Author;1;7;0;Figure 7: What is special about the locations highlighted by the markers (crosses on Figure 7B and square markers on Figure 7C). At this scale, the reader can’t see much detail.
Reviewer 1;Author;1;8;0;Figure 9: Remove ‘s’ from <10 yearss. Also, increase the thickness of the fault lines to make them more obvious.
Reviewer 1;Author;1;9;0;Lines 271-272: Why is the signal quality so variable, and how were the categories (excellent, average and poor) defined?
Reviewer 1;Author;1;10;0;Lines 323-324: The authors should explain why low magnitude local seismic signals can be believed to represent permeable pathways promoting water or gas migration.
Reviewer 1;Author;1;11;0;Lines 339-357/Section 4.3: The map shown on Figure 9 that provides the location where groundwater and springs were sampled could be referred to.
Reviewer 1;Author;1;12;0;Line 360: Here and throughout the text, the word ‘recent’ is used to describe some tectonic activity. It would be good define what recent means in the context of this study. An indication is provided in the Discussion (Line 414), but it would go to state this value upfront in the text.
Reviewer 1;Author;1;13;0;Discussion: One general comment, could the use of other tracers (radon, of stable isotopes of water) yield also insight on the origin of the fluids sampled in this study?
Reviewer 2;Author;1;1;0;There are some shortcomings in documentation and presentation of results, which weaken the link between observations and conclusion.
Reviewer 2;Author;1;2;0;Development of the petroleum resources in this region is controversial and faces opposition from Traditional Owners as well as climate scientists, and environmentalists. One of the key issues in the Beetaloo Sub-basin, the risk of groundwater contamination from fracking-based production of the unconventional plays. The present paper is thus part of an ongoing debate and the findings presented here are likely to influence discussions and decisions by stakeholders. This fact stresses the need for clarity when presenting data and results.
Reviewer 2;Author;1;3;0;Improving the design of the figures and adding links/references to primary data sources would go a long way towards addressing this.
Reviewer 2;Author;1;4;0;"Aeromagnetic survey data acquired over the last 50+ years were employed for mapping structural and lithological features. Although the aeromagnetic data is said to be employed for structural interpretation, details somewhat
sketchy. Reference is made to “…prominent […] magnetic lineaments which can be caused by faulting”, and “…several circular low magnetization anomalies, approximately two kilometers in diameter, aligned with northwest trending lineaments”. It would be nice to include a map with these features and lineaments interpreted from the aeromagnetic datasets. This would also tie the
observations based on this dataset closer to the seismic interpretation (see below)."
Reviewer 2;Author;1;5;0;"Seismic reflection 2D lines (1989-2015). 8500 km. Interpretation of shallow horizons and faults
using all publicly available geological and geophysical data of the Beetaloo region. Fault polygons
defined for five horizons. Depth conversion using check-shot velocities from 26 wells.
See comments to Figure 4. The depth maps provided in Figure 5 should be supplemented by
isochore maps for the rock volumes between pairs of mapped reflectors. See also comments to
Figure 7."
Reviewer 2;Author;1;6;0;"Helium measurements from groundwater samples. With respect to the helium measurements, no
detailed documentation of where these samples were collected is provided beyond referring to
Geological and Bioregional Assessment Program (2021a) Fact sheet 12, and Geological and
Bioregional Assessment Program (2021b) Regional tracer results from the Cambrian Limestone
Aquifer. These are both summary documents. Please provide a reference to the primary
documentation."
