;review;dist;mean_n_args;dist_per_mean_n_args
0;admsci5030148;150;77.5;1.935483870967742
1;admsci6020005;68;34.5;1.9710144927536233
2;agriculture12060868;0;45.0;0.0
3;agronomy12061433;66;33.5;1.9701492537313432
4;ani12040482;316;151.5;2.0858085808580857
5;antiox11040683;19;12.5;1.52
6;app12052642;109;56.0;1.9464285714285714
7;atoms13060972;94;59.0;1.5932203389830508
8;atoms3030433;80;42.0;1.9047619047619047
9;atoms4010002;50;25.0;2.0
10;atoms4010010;56;27.5;2.036363636363636
11;atoms4020014;68;34.0;2.0
12;biom12060834;290;127.0;2.283464566929134
13;biomedicines10030600;12;7.5;1.6
14;biotech1101004;88;42.5;2.070588235294118
15;brainsci11121640;96;57.5;1.6695652173913043
16;brainsci12060789;28;16.0;1.75
17;brainsci6010008;58;32.5;1.7846153846153847
18;brainsci6010009;0;13.0;0.0
19;bs5040518;68;32.5;2.0923076923076924
20;bs6010004;124;49.5;2.505050505050505
21;buildings12040417;96;67.0;1.4328358208955223
22;cancers14040966;44;17.0;2.588235294117647
23;cancers14071773;0;33.0;0.0
24;cancers14122959;146;68.0;2.1470588235294117
25;cancers14122960;32;18.5;1.7297297297297298
26;cancers14122962;42;20.0;2.1
27;catal12030290;80;42.0;1.9047619047619047
28;cells11010166;44;20.5;2.1463414634146343
29;cosmetics2030248;0;33.0;0.0
30;economies3040150;122;58.5;2.0854700854700856
31;economies4030013;46;43.5;1.0574712643678161
32;electronics11050760;66;29.5;2.23728813559322
33;en15031006;48;26.0;1.8461538461538463
34;fermentation8050212;0;49.0;0.0
35;gels8040212;82;42.0;1.9523809523809523
36;genes13030404;3;18.0;0.16666666666666666
37;geosciences12010037;240;120.0;2.0
38;healthcare10030476;26;47.0;0.5531914893617021
39;healthcare10040723;98;47.0;2.0851063829787235
40;horticulturae8050412;48;86.0;0.5581395348837209
41;ijerph19127332;132;65.5;2.015267175572519
42;ijms2316696;30;23.5;1.2765957446808511
43;ijms2316700;0;13.0;0.0
44;jcm11051247;42;22.0;1.9090909090909092
