Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;the third sector, its definition and description is missing. I would not have thought of this as a major issue unless Evers and Laville (2004) The third sector in Europe, Edward Elgar, spesifically discuss whether cooperations are defined within or outside the third sector. Maybe taken for granted here? The least we should expect is a definition.
Reviewer_1;Author;1;2;0;the case description and analysis is based only on media accounts - no actual first hand information to inform the analysis. I find this less than satisfying. It should be possible to interview a few key individuals about the case to make sure the medis picture is corrected where this is needed. Media does not always get it right. There is not enough evidence to prove anything about CEC
Reviewer_1;Author;1;3;0;I also have problems with the depth of the discussion, and I feel the conclusion does not match the promises of the abstract
Reviewer_1;Author;1;4;0;Wrong reference number on page 4, line 14: should be 15
Reviewer_1;Author;1;5;0;Figure 1 text overwrite part of the figure, and there should be comments on how this is different from a general structure for a private sector company (if you look at stakeholders as shareholders)
Reviewer_1;Author;1;6;0;Bottom of page 9: Missing reference to Co-operative principles by Rochdale Society.
Reviewer_1;Author;1;7;0;USA context concerning cooperatives (upper half page 10) should be highlighted even more for readers to be able to compare to their own context (for instance in Europe)
Reviewer_1;Author;1;8;0;The cooperative firm removes adversarial aspects of market contracting (page 11) - what adversarial aspects?
Reviewer_1;Author;1;9;0;are references 27 and 33 used in the text? (could not find them)
Author;Reviewer_1;2;1;1;Agree that it should not be an issue. Therefore, I recalibrated the piece to note that co-operatives are not third sector organizations, but instead have similar features that could allow the institutional analyst fertile ground for innovations in governance.
Author;Reviewer_1;2;2;2;"I agree that this is not a case study; I made the mistake in haste. I have therefore changed the paper from a case study to a discussion paper. Additionally, I note in the paper that I perform an archival analysis of media accounts in an effort to demonstrate how the utilization of the ODPs for analysizing secondary data may better position the analyst to perform rigorous, interogative fieldwork."
Author;Reviewer_1;2;3;3;See the DISCUSSION and CONCLUSION sections, where I have added additional analyses.
Author;Reviewer_1;2;4;4;Corrected.
Author;Reviewer_1;2;5;5;Corrected and accounted for.
Author;Reviewer_1;2;6;6;I do not believe this is a necessary reference as I cite the International Co-operative Alliance principles, and the Rochdale Principles are somewhat commonly understood.
Author;Reviewer_1;2;7;7;Accounted for.
Author;Reviewer_1;2;8;8;Addressed in the text.
Author;Reviewer_1;2;9;9;Corrected.
Reviewer_2;Author;1;1;0;First, the principal-agent approach is only one of theoretical perspectives used to analyze nonprofit governance
Reviewer_2;Author;1;2;0;Second, the board-manager relationship is only a small part of the research on nonprofit boards, which in turn is the major focus of nonprofit governance research 
