Side;Opponent;Round;Number;Attacks;Text;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
Reviewer_1;Author;1;1;0;"the analysis of the data is weak, and the paper remains largely descriptive. Would suggest to use these case studies as a source of ideas on how policies and cluster initative management migth relate to each other; that would make this a more interesting paper.";;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;1;2;0;The conceputal framework (figure 1) is very similar to the 'cluster initiative performance model' in the Cluster Initiative Greenbook (Solvell et al., 2003), adding the hypothesis that there might be an interaction between policy context and management and being somewhat more narrow on the elements included.;;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;1;3;0;"There are also existing reviews of cluster policies in Europe that should be considered (Clusters are Individuals, 2012, BMWi; VDI/VDE; Dasti). There is also a growing literature on cluster initiative management in Europe (see the EU's ""Excellence Initiative' with the benchmarking of cluster initiatives) that should be considered.";;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;1;4;0;The language the authors use is here a bit imprecise - they seem to be talking about the management of cluster initiatives, not about the management of the policies themselves;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;1;1;We fundamentally reorganized our manuscript so that its story and structure might be much clearer in the revision. In Section 2.2 we explicitly presented three hypotheses that are tested and discussed in later sections using information on six cluster cases. Section 5 also was reorganized so that the relationship of local cluster management to basic conditions and to national cluster polity, respectively, could be tested for each country using some cases of clusters and cluster management. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;2;2;We revised and simplified Figure 1 by deleting cluster performance and its relationships with other factors because in fact we do not address them in our manuscript.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;3;3;We read and cited in our manuscript the suggested and other references that correspond to [25], [31], [32], [33], [34], [35] and [36] (especially in Section 2.2) in revising our conceptual framework.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;4;4;This manuscript addresses the relationship of national cluster policy and its local implementation, and not the policy organization within the government. Therefore, we slightly changed the titles of the manuscript and Section 5, and revised related terms throughout the manuscript, using the terms such as “local implementation” or “local management”.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;1;0;it remains predominantly descriptive in its present state, and does not seek to explain the differences found in both countries. When revising the paper, the authors are advice to add a theoretical/conceptual frame that allows them to strengthen the paper’s explanatory value.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;2;0;the conceptual framework appears simplistic, technocratic and static, and it is not sufficiently rooted in literature as evident from the scarcity of references in section 2.2. It is simplistic and technocratic because it views cluster performance as an outcome of initial conditions (i.e., the state of cluster development), cluster management and national polices. The paper thus rests on the untested presumption that cluster management and national policies actually impact the performance of clusters. As scholars, the authors should challenge this technocratic faith of policy-makers and practitioners, although evaluation is beyond this paper’s scope.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;3;0;‘initial conditions’ fail to capture the complexity of clusters if they are reduced to a dichotomy of private vs. public sector dominance. Even when the industry (biotechnology) is held constant, clusters differ in a number of ways, esp. regarding their specialisation within biotechnology, their maturity, size (number of firms and employee) and firm size structure.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;4;0;Finally, the paper is static as it does not account for cluster evolution and (policy) learning over time. For instance, what does it mean if a regional cluster organisation is pre-dating the national policy programme it is supposed to implement, as evident from some of the cases? Such limitations do not necessarily disqualify the paper, but should be discussed reflexively in the paper’s conclusions.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;5;0;At present, the final section is merely a summary with the exception of the very last sentence briefly sketching the need for including evaluation in comparative cluster policy research.                                                                                                                                                        ;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;6;0;A conceptual and/or theoretical perspective is needed to shed light at the differences found. The authors should include a discussion on how these countries differ e.g. in terms of the role of the state versus private initiative, governance traditions and philosophies, centralist vs. federal set-up.                                                                                                                                                  ;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;7;0;The authors focus on what they call ‘intellectual clusters’, a term that appears 21 times throughout the paper although I cannot recall having ever seen it in a decade or so of studying clusters and cluster policies. According to the definition on the top of page 4, the term denotes a cluster led by a public research organisation, which is rather specific and I doubt it applies to the six case studies outlined in the paper. Even so, the term ‘intellectual’ does not look fully appropriate here, which may be due  o its translation from a Japanese original. ‘Public research-led cluster’ might be more to the point, as it appears difficult to judge if these are more or less ‘intellectual’ than other forms of clusters. At the least, it would appear sound to qualify these six cases as science-based clusters, but then this would apply to the biotech industry and all its clusters in general.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;8;0;The choice of clusters is generally well explained on pp. 2-3. When elaborating on the choice of nations, one might wonder why the United States have not been included – possibly because there is no comparable national cluster policy?! ;;;;;;;;;;;;;;;;;;;;
