Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;Why Jung? The authors have selected Jung’s archetypes as the theoretical foundation for the paper. 
Reviewer 1;Author;1;2;0;This paper’s potential impact will be enhanced if it can find a way to align itself with this growing branch of advertising research.
Reviewer 1;Author;1;3;0;The abstract states: “Aaker is seen by many as the branding guru” and refers to Aaker (1997) in the introductory paragraph. Are you referring to David Aaker (the father) or Jennifer Aaker (the daughter)?
Reviewer 1;Author;1;4;0;Indeed, Aaker (1997) is a highly-cited work. Are there any other limitations or criticisms the reader should be informed of? However, you may want to tell readers how brands can convey aspects of personality via advertising (see: Allen and Olson 1995).
Reviewer 1;Author;1;5;0;Page 2, line 62: I disagree with the claim that “above models can be seen as extensions of Aaker’s (1997) brand personality model.” The models you listed are variants of well-known hierarchy of effects models
Reviewer 1;Author;1;6;0;Though the paper is exploratory, I am not convinced that it aligns with the “grounded theory” tradition.
Reviewer 1;Author;1;7;0;The results would have been more compelling if the study measured the impact of ad campaigns (sets of related ads) in delivering a consistent (reliable) impression.
Reviewer 1;Author;1;8;0;Evidence of claim? Page 4, line 124 states: “European students did not know these two hotel chains and therefore were not pre-conditioned in any way. In contrast the 55 Asian students knew the chains.” Was brand familiarity actually measured, or was it assumed?
Reviewer 1;Author;1;9;0;"However, if you included a storyboard (set of screenshots) for each ad, that would help the reader (for examples, see: Mulvey and Medina 2003; Scott 1994)."
Reviewer 1;Author;1;10;0;Clarity and elaboration of Page 5+: The methods section lacks clarity – it would be very difficult for a researcher to replicate the procedure. Please provide greater detail of the scales used, the anchor terms, and how the survey/rating task was administered (online? Paper and pencil?).
Reviewer 1;Author;1;11;0; “Archetype Articulate Charisma” (heading title in Table 3): This is not clear. Either define the term in the text or use phrasing that is clear to the reader
Reviewer 1;Author;1;12;0;Findings: Who rated the three personality traits? The student/respondents? How many items were used? Why do you not report reliability measures for the items and scale?
Reviewer 1;Author;1;13;0;Factor analysis: Have you reported principal components, or a rotated solution?
Reviewer 1;Author;1;14;0;Interpretation: The interpretation of Archetypes seems to assume that the types are mutually-exclusive. However, this is not really the case
Author;Reviewer 1;2;1;1;We added Freud’s heritage and contemporary research e.g. Jung’s contribution to the Big 5. 
Author;Reviewer 1;2;2;2;We took great effort introducing above mentioned perspectives into our paper
Author;Reviewer 1;2;3;3;We decided to call them both gurus because David obviously is the one but our paper refers to Jennifer.
Author;Reviewer 1;2;4;4;We added Allen & Olson and other limitations such as criticism on the conceptual, methodological and substantive level as well as confusing user profiles (e.g., upper class) with brand characteristics and weak discriminatory power.
Author;Reviewer 1;2;5;5;We revised the statement in the sense that it is part and not different from it.
Author;Reviewer 1;2;6;6;We fully agree and deleted the claim to be Grounded Theory.
Author;Reviewer 1;2;7;7;We cited Roberts (2010) who, based on extensive research, found different leading archetypes depending on the product category. We added our thoughts as scope for further research in chapter 4.We added Matzler et al. (Personality, person-brand fit, and brand community: An investigation of individuals, brands, and brand communities. Journal Of Marketing Management) as research on customer-brand relationship.
Author;Reviewer 1;2;8;8;The survey was conducted face-to-face in the classroom and students asked personally
Author;Reviewer 1;2;9;9;We added more screenshots and background on the commercials.
Author;Reviewer 1;2;10;10;We added the questions that participants were asked. Everything was based on pencil and paper.
Author;Reviewer 1;2;11;11;Changed in the term ‘manifestation.’
Author;Reviewer 1;2;12;12;The students.
Author;Reviewer 1;2;13;13;Principal Component with Varimax rotation.
Author;Reviewer 1;2;14;14;We changed the wording. In fact, the cited Cinderalla is a prime example of blended archetype.
Reviewer 2;Author;1;1;0;I think there are some ways in which you may tighten up the description of the experimental design.
Reviewer 2;Author;1;2;0;I think that the relevance of the research to practitioners as well as academics needs to include some current findings about ads, their placement and effectiveness. 
Author;Reviewer 2;2;1;1;We cleaned up our description of the experimental design by adding the questions that we asked, the scale we used etc.
Author;Reviewer 2;2;2;2;We tried our best to address this problem, see the revised version of our paper.
