Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;Transient analysis followed by reliability experiments/analysis/modeling of the proposed structure would be interesting and critical in aspect of joint application contrains. In my opoinion is should be added or explained in context of scheduled follow-up activities.
Reviewer_2;Author;1;1;0;The article being evaluated is an extension of the above cited reference, and the authors would be well advised as to summarize this article, in part, and to delineate what has changed as of 2019, i.e. put this in a paragraph and to explain the subsequent evolution since 2019.
Reviewer_2;Author;1;2;0;Secondly what is missing in the article is in terms of application a clear delineation as to what benefits robotics accrue by the developments summarized in this article . What new capacities and abilities so created by this evolutionary jump
Reviewer_3;Author;1;1;0;Abstract (what you are going to do) & conclusions (what you have done) are not sharp, rewrite it
Reviewer_3;Author;1;2;0;A part of the abstract looks like it has been copied from standard papers.
Reviewer_3;Author;1;3;0;Keywords are not sufficient after the abstract.
Reviewer_3;Author;1;4;0;I think, the similar work has been done by many people, which has to be referenced, i.e., the base paper from where the work has started has to be written (The base paper is not mentioned or cited)
Reviewer_3;Author;1;5;0;Work done by various authors has not been cited properly in the manuscript.
Reviewer_3;Author;1;6;0;Recent references are to be added as well as it has to be cited, majority of them are old references.
Reviewer_3;Author;1;7;0;References are not written in the standard journal format.
Reviewer_3;Author;1;8;0;The recent work done by the author of the paper in the relevant field also has to be mentioned in the references.
Reviewer_3;Author;1;9;0;Similarity index is there with many of the papers already published, hence, use of plagiarism software is recommended to test for the originality before submitting the final manuscript.
Reviewer_3;Author;1;10;0;Many of the paragraphs seems to be copied from standard papers (to be changed in your own words in simple English).
Reviewer_3;Author;1;11;0;Work relevant to the research topic is not incorporated, i.e., the work done by other researchers / authors in this field are not incorporated.
Reviewer_3;Author;1;12;0;The disadvantages, drawbacks of the works in the other author’s papers in the relevant field are not put.
Reviewer_3;Author;1;13;0;The future work in this field is not mentioned.
Reviewer_3;Author;1;14;0;"Literature survey is inadequate; incorporate the recent works of the authors."
Reviewer_3;Author;1;15;0;There is lot of spelling mistakes & grammatical errors, which has to be corrected using spell check & by other means.
Reviewer_3;Author;1;16;0;Paragraphs are lengthy & have to be cut into smaller sizes.
Reviewer_3;Author;1;17;0;Flow chart or the algorithm of the proposed work should be incorporated.
Reviewer_3;Author;1;18;0;Figures have to be in .jpeg (insert mode).
Reviewer_3;Author;1;19;0;"Paper is not in the relevant conference / journal format; redo it according to the format specified by the committee."
Reviewer_3;Author;1;20;0;The existing work is not compared with some standard technique, if this point is implemented, then the proposed work would be authenticated that it is a better concept than the others, if not done, so, please do it & add it so that it will be a full-fledged paper which can be cited by many.
Reviewer_3;Author;1;21;0;The paper has to be revised giving the proper flow of reading, It seems like abruptly written.
Reviewer_3;Author;1;22;0;English writing is very poor, some abbreviations are used without telling what it is, It will hamper the flow of reading.
Reviewer_3;Author;1;23;0;Figures & tables should be cited in the text & the insertion of the same should be very near to where it is cited.
Reviewer_3;Author;1;1;0;Nomenclature has to be put at the end along with the acknowledgement.
Reviewer_4;Author;1;2;0;Please add more details regarding paper’s novelty, it is not very clear what are the novelties of this paper.
Reviewer_4;Author;1;3;0;Please add more details of how the theory from the first sections is applied in the results section and better detail the theoretical part, in this version the theoretical part is almost inexistent.
Reviewer_4;Author;1;4;0;Please detail how the parameters were obtained.
Reviewer_4;Author;1;5;0;"The state of the art it is very poor regarding representative papers, maybe the author could add the following publications:
 o Hybrid Data-Driven Fuzzy Active Disturbance Rejection Control for Tower Crane Systems, European Journal of Control, vol. 58, pp. 373-387-11, 2021.
 o Event-Triggered Adaptive Fuzzy Control for Stochastic Nonlinear Systems with Unmeasured States and Unknown Backlash-Like Hysteresis, IEEE Transactions on Fuzzy Systems, doi 10.1109/TFUZZ.2020.2973950, pp. 1–19, 2020."
Reviewer_4;Author;1;6;0;Please add more details regarding the obtained results.
Reviewer_4;Author;1;7;0;Add the both the advantages and the disadvantages of the proposed method. In the proposed manuscript only the advantages are presented.
Author;Reviewer_1;2;1;1;"We agree that transient analysis is important in designing a robot joint. However, the transient analysis requires relevant parameters of the robot arm be determined besides the parameters of the joint. The following sentence has been added at the end of Conclusions:
 ""For future work we will develop variable stiffness techniques of this joint, and explore its application in a robot arm considering both kinetostatic and transient behaviors"""
Author;Reviewer_2;2;2;1;"The mentioned reference is focused on an analytical method for modeling large deflections in compliant mechanisms, while this work presents a method of enhancing the tensile strength of lamina emergent joints by using double-layer materials. As compared to Ref. [19] which focuses on concepts and demonstrations, this work mainly focuses on analytical modeling of one design concept and provides finite element and experimental validations. The following sentences have been added at the beginning of the last paragraph of Introduction: ""In this work, based on the design concept of improving the tensile stiffness of LET joints in Ref. [19], this paper proposed a DL-LET joint by fixing a layer of flexible H18 aluminum foil a LET joint. A theoretical model is derived for the DL-LET joint and verified by FEA and experimental results."""
Author;Reviewer_2;2;3;2;"As to the second comment, Ref. [34] has been new added in the reference list and the following sentence has been added at the end of the second paragraph of Introduction: ""Ref. [34] made a robot using double-layer LEMs, which is driven by magnetic force. This paper further discussed how to adjust the motion by changing different parameters of the mechanism"". The following sentence has been added at the end of Conclusion: ""For future work we will develop variable stiffness techniques of this joint, and explore its application in a robot arm considering both kinetostatic and transient behaviors."""
Author;Reviewer_3;2;4;1;We have rewritten the conclusions and abstract, and added additional keywords.
Author;Reviewer_3;2;5;2;We have rewritten the conclusions and abstract, and added additional keywords.
Author;Reviewer_3;2;6;3;We have rewritten the conclusions and abstract, and added additional keywords.
Author;Reviewer_3;2;7;4;"The following sentences have been added in the first paragraph of Introduction to mention the base paper and the related work (more references have been added): ""Finding suitable compliant joints [7] can be a key step in designing LEMs. Jacobsen et al. [8] first proposed the design concept of utilizing torsional deflection to obtain out-of-plane motions from planar structures, leading to a new group of compliant joints for LEMs called Lamina Emergent Torsional (LET) joints"". At the beginning of the last paragraph of Introduction: ""In this work, based on the design concept of improving the tensile stiffness of LET joints in Ref. [19], this paper proposed a DL-LET joint by fixing a layer of flexible H18 aluminum foil a LET joint. A theoretical model is derived for the DL-LET joint and verified by FEA and experimental results."""
Author;Reviewer_3;2;8;6;"The following sentences have been added in the first paragraph of Introduction to mention the base paper and the related work (more references have been added): ""Finding suitable compliant joints [7] can be a key step in designing LEMs. Jacobsen et al. [8] first proposed the design concept of utilizing torsional deflection to obtain out-of-plane motions from planar structures, leading to a new group of compliant joints for LEMs called Lamina Emergent Torsional (LET) joints"". At the beginning of the last paragraph of Introduction: ""In this work, based on the design concept of improving the tensile stiffness of LET joints in Ref. [19], this paper proposed a DL-LET joint by fixing a layer of flexible H18 aluminum foil a LET joint. A theoretical model is derived for the DL-LET joint and verified by FEA and experimental results."""
Author;Reviewer_3;2;9;8;"The following sentences have been added in the first paragraph of Introduction to mention the base paper and the related work (more references have been added): ""Finding suitable compliant joints [7] can be a key step in designing LEMs. Jacobsen et al. [8] first proposed the design concept of utilizing torsional deflection to obtain out-of-plane motions from planar structures, leading to a new group of compliant joints for LEMs called Lamina Emergent Torsional (LET) joints"". At the beginning of the last paragraph of Introduction: ""In this work, based on the design concept of improving the tensile stiffness of LET joints in Ref. [19], this paper proposed a DL-LET joint by fixing a layer of flexible H18 aluminum foil a LET joint. A theoretical model is derived for the DL-LET joint and verified by FEA and experimental results."""
Author;Reviewer_3;2;10;9;"The following sentences have been added in the first paragraph of Introduction to mention the base paper and the related work (more references have been added): ""Finding suitable compliant joints [7] can be a key step in designing LEMs. Jacobsen et al. [8] first proposed the design concept of utilizing torsional deflection to obtain out-of-plane motions from planar structures, leading to a new group of compliant joints for LEMs called Lamina Emergent Torsional (LET) joints"". At the beginning of the last paragraph of Introduction: ""In this work, based on the design concept of improving the tensile stiffness of LET joints in Ref. [19], this paper proposed a DL-LET joint by fixing a layer of flexible H18 aluminum foil a LET joint. A theoretical model is derived for the DL-LET joint and verified by FEA and experimental results."""
