Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;LINE 18-19: It seems that “knowledge” should be conclusions? 
Reviewer 1;Author;1;2;0;The methods of the manuscript should be introduced in the abstract.
Reviewer 1;Author;1;3;0;LINE 75-77: difficult to understand.
Reviewer 1;Author;1;4;0;LINE 110: Why remove the time-mean yearly(seasonal) cycle before Principal Component Analysis (PCA) is performed on the precipitation data? And how to remove the time-mean yearly(seasonal) cycle?
Reviewer 1;Author;1;5;0;LINE 120: Please specify the range of the “10 years”, Because the period you provided on the page is 1931-2016. And why did you choose 10 years to analyze?
Reviewer 1;Author;1;6;0;LINE 163: Why choose DJF composites and PC1 to analyze VIDMF anomalies? 
Reviewer 1;Author;1;7;0;What is “15 g kg -1ms-1” at the bottom of figure 4? The characters should be adjusted larger in figure 5
Reviewer 1;Author;1;8;0;LINE 270: Where did you come to the conclusion that “In the climatology, the position of the ITCZ, which coincides with the minimum value of ω, is located at 4°N”?
Reviewer 1;Author;1;9;0;LINE318: Please specify the range of the “10 years”
Reviewer 1;Author;1;10;0;What’s the meaning of the “10 g kg -1ms-1” and “100 g kg -1ms-1” in figure 9?
Reviewer 2;Author;1;1;0;In Data and Methods Section, the authors stated that they limited their study to 1931-2016 period, because before 1931 there were too few stations in the study region (mainly over Amazon). In my opinion, more details about this point are necessary. Can you produce a simple plot showing the evolution over the time of the number of rain-gauges available for the study region?
Reviewer 2;Author;1;2;0;About the methods. Can you motivate the use of PCA? Why did you not use the cluster analysis?
Reviewer 2;Author;1;3;0;Section 3.1 (lines 149-152). Those sentences must be motivated and supported by a quantitative investigation (for example by a correlation analysis).
Reviewer 2;Author;1;4;0;A point of weaknesses of this work is related to the absence of a coherent quantitative investigation about the relationship between the main PCs and the large-scale atmospheric features. For example, I think that is necessary to perform at least a correlation analysis to support the association between the first PCO (considered in terms of amplitude) and the SACZ intensity, as the authors have done to support their findings about the linkages between the second PC and the ENSO.
Reviewer 2;Author;1;5;0;Section 3.2: what happens in the negative phase of the second PC?
Reviewer 2;Author;1;6;0;Moreover, I do not see any detailed analysis or discussion about the variability over time of the precipitation anomalies, with specific reference to the last 50 years (1970-2020), in which most of the global warming phenomenon occurred. I suggest to add a section about this point and to investigate about (potential) changes in the relationship between large-scale features and tropical south America precipitation anomalies in the global warming era.
Reviewer 2;Author;1;7;0;I suggest to standardize the citation style within the text.
Reviewer 2;Author;1;8;0;At the end of the introduction section, the authors should devote a couple of sentences to the structure of their manuscript.
Reviewer 2;Author;1;9;0;Figure 2: I suggest to reverse the colorbar.  Please modify the colorbar and make it consisent with the other figures. The same consideration can be applied to the Figure 8.
Reviewer 2;Author;1;10;0;Conclusions (Pag. 11, lines 343-344): the investigated period is 1931-2016, not 1931-2010.
Reviewer 2;Author;1;11;0;Finally, I suggest to carefully check the paper in order to address some minor typos.
Author ;Reviewer 1;2;1;1;By “knowledge” we meant state of the art literature, we have made this clearer now, we thank the reviewer for this observation.
Author ;Reviewer 1;2;2;2;We have stated the methods used in our research in the abstract. We thank the reviewer for this comment that has improved the content of the abstract.
Author ;Reviewer 1;2;3;3;"We have rewritten this sentence; we believe it is clearer now."
