Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;It remains unclear how the quantum regime (with coherent spatial delocalization and interference of probability amplitudes of different paths) could possibly be reached in a real experiment, as spontaneous scattering of photons (of the cavity light or of the side pumper) into free space would localize the atomic wavefuction into one lattice site and thus decohere any spatial delocalization.
Reviewer_1;Author;1;2;0;For a quick orientation it would be helpful to indicate the x-axis in Fig.1 and an (angular) frequency axis in Fig.2.
Reviewer_1;Author;1;3;0;"In Section I the authors write: ""The mechanism is similar to the ones exploited in the creation of artificial potentials in optical lattices [17]"". This statement is a bit misleading since [17] uses coherent (quantum-mechanical) tunnelling with complex tunnel amplitudes, whereas the present manuscript deals with classical trajectories and classical jump probabilities."
Reviewer_1;Author;1;4;0;This is similar to previous works on implementation of the quantum random walk with photons [18], atoms in optical lattices [19], ions in traps [20] or on a one-dimensional lattice of superconducting qubits [21]: This statement is also misleading, because the cited references have reached the coherent quantum walk regime, while the present manuscript only hypothesizes about an (unspecified) possibility to enter the quantum regime.
Reviewer_1;Author;1;5;0;In Section II it should be clearly stated that this is a one-dimensional model, transverse forces or motion are not considered.
Reviewer_1;Author;1;6;0;"In Fig. 2: ""such that c < 0 corresponding to the stable regime of cavity QED with moving atoms"": what does this mean? The regime of cavity cooling?"
Reviewer_1;Author;1;7;0;In Section III the numerical value of \kappa is not given (only in the caption of Fig. 3 it is mentioned that \kappa is set to unity).
Reviewer_1;Author;1;8;0;The numerical values of the parameters used for the simulation are in the bad cavity regime (g << \kappa, \gamma). Does the special spatio-temporal shape of the potential, which is shown in Fig. 3, and which enables the effective random walk motion, originate in genuine cavity quantum effects, or could a similar potential be generated also in the classical (bad cavity) limit (g -> 0, \eta_L -> infinity and \kappa large), or for a classical standing wave laser beam interfering with a classical transverse running wave?
Reviewer_1;Author;1;9;0;In describing the action of the optical potential as quasi-random potential kicks, is there some long-term heating effect (i.e. an increase of the average energy of the atom)? Does cavity cooling play a role to counteract this in the numerical simulations?Response
Reviewer_2;Author;1;1;0;In the paragraph following Eq. (2), please check the commutation relations between the raising (sigma^+) and lowering (sigma^-) operators and the Pauli matrix sigma^z. I suspect it should be [sigma^+,sigma^z] = - 2 sigma^+ and [sigma^-,sigma^z] = + 2 sigma^- .
Reviewer_2;Author;1;2;0;"A couple of lines below Eq. (4), the Authors write ""We proceed in a standard way to derive equations of motion for classical quantities."" I would suggest to provide a reference to guide the less experienced reader."
Reviewer_2;Author;1;3;0;In the equations of motion for the atoms [Eqs. (6) and (7)] it is introduced the quantity gamma, which, I guess, is the atomic decay rate. Please, provide a definition of gamma. What is, if any, the role of gamma (spontaneous atomic decay rate) in the physical process under consideration? In the analytical results, derived in the adiabatic limit, gamma is eliminated and does not play any role. I wonder if one can draw any conclusion from the numerical simulations, where other regimes could have been explored.
Reviewer_2;Author;1;4;0;"At the end of Section IV C. ""Optical forces"" the time independent value of the force is derived. Please, check this value. I'm afraid there is a factor k missing (simple dimensional analysis shows that something is wrong with it)."
Reviewer_2;Author;1;5;0;The same argument (dimensional analysis) applies to Eqs. (24), (25) and (27). Please check again these expressions.
Reviewer_2;Author;1;6;0;"In section VI E. ""Trapping by longitudinal pumping"", one can analytically estimate the threshold value for the transverse pumping. How does this analytical result compare with the numerical simulations?"
Reviewer_2;Author;1;7;0;Please, be consistent with the choice of subscripts and superscripts: in the first column of page 2 the Pauli operator is denoted as sigma^z (superscript), whereas in the second column becomes sigma_z (subscript).
Reviewer_2;Author;1;8;0;Figure 4 is mentioned in the main text AFTER Fig. 5. It would be more logical to exchange their presentation order and, consequently, the figures numbering. Indeed, the same Authors already refer to the single trajectory plot as Fig. 4 (c) [see paragraph below Eq. (13)].
Reviewer_2;Author;1;9;0;Page 4, first paragraph, the particle initial conditions are chosen in the interval [ - 0.1, 0.1] (in the text a comma is missing).
Reviewer_2;Author;1;10;0;"Page 5, first column, second paragraph ""... one can inspect Eq. (11) b) where the right-hand side ..."". Please, eliminate ""b)"" since it is simply Eq. (11). The same misprint appears at page 8 in the paragraph between Eqs. (32) and (33)."
Reviewer_2;Author;1;11;0;"Page 6, ""Optical forces"": there is a missing subscript L in the first force term at the end of the first paragraph, just before Eq. (21)."
Reviewer_2;Author;1;12;0;Figure 8, Force correlation functions and numerical solutions of the variance: when printed in grey scale some lines are very faint (especially those in green and cyan). Try to use other colors and/or thicker lines.
