Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;Based on the cell line RNA and protein data the expression level of MACC1 is highly variable rather than being present or not. Is there a similar variability present among the tissue samples? Please provide the distribution of the IRS scores of the patient cohort and explain how was IRS 5 chosen as cut off?
Reviewer 1;Author;1;2;0;The authors argue that MACC1 expression did not significantly influenced cell proliferation in the two cell line models. However, cell proliferation was analyzed only in a 24-hour long period even though most cancer cells have a doubling time around 24 hours. In order to draw a conclusion about the proliferation effect a longer (48 or 72 hours) measurement is necessary.
Reviewer 1;Author;1;3;0;The concentration used from selumetinib both for the cell line experiments (10 microM) and for the animal experiments (50mg/kg) are quite high. Please discuss how the applied concentrations are related to the clinicaly used dosage (75 mg administered orally twice https://clinicaltrials.gov/ct2/show/NCT02448290) and why not the more efficient MEK1 inhibitor trametinib was used for the experiments. It would be nice to know the selumetinib sensitivity of the two used cell lines.
Reviewer 2;Author;1;1;0;[1] Figure 4 is missing. In the pdf I reviewed, the caption is there, but the figure is not.
Reviewer 2;Author;1;2;0;[2] Abstract says 266 patients were analyzed (line 36), while result says 360 patients were analyzed (line 249). Please fix this inconsistency.
Reviewer 2;Author;1;3;0;"[3] Throughout the paper, 10^x wrongly displays as 10x (e.g. ""105"" instead of ""10^5"" in lines 152 and 170, ""106"" instead of ""10^6"" in line 217, ""X2"" instead of ""X^2"" in line 241, ""108"" instead of ""10^8"" in lines 353, 354, 365, 366, 367, 368, 370, 371)."
Reviewer 2;Author;1;4;0;[4] In Figures 3G and 3H, please specify p-values for untreated vs selumetinib in FLO-1/EV and OE33/shMACC1 respectively. If the difference is statistically significant, please briefly explain/speculate why.
Reviewer 2;Author;1;5;0;[5] If possible, please use a higher resolution version of Figures 3F and 3I (the legends are blurry and hard to read in the current version).
Reviewer 2;Author;1;6;0;[6] In line 306/307, please explain/speculate briefly why the control clone had higher MACC1 expression than the wildtype.
Reviewer 2;Author;1;7;0;[7] In line 272/273: (i) please report median survival in each group (instead of mean survival), (ii) please specify Hazard ratio with 95% confidence interval (in addition to p values), (iii) please report both overall survival result and disease-specific survival result (since you showed both in Figures).
Reviewer 2;Author;1;8;0;"[8] In line 274, please change ""OR 1.51"" to ""OR 1.51 [... - ...]"", i.e. specify the 95% confidence interval."
Reviewer 2;Author;1;9;0;[9] In line 277-279: (i) please report median survival in each group (instead of mean survival), (ii) please specify Hazard ratio with 95% confidence interval (in addition to p values). Same for lines 425/426.
Reviewer 2;Author;1;10;0;"[10] If the journal allows it, please break up the abstract into Introduction, Methods, Results, Conclusion. If the journal requires an unstructured abstract instead, please reorganize the current abstract so that the content flows uninterrupted (e.g. ""MACC1 is an independent negative prognostic marker in AGE/S patients."" should be after ""Expression was correlated with survival and morphological characteristics."" and before ""To analyze the role of MACC1 in vitro the cell lines FLO-1 and OE33 were lentivirally manipulated."" and so on)."
