Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;please include a more specific section about the statistical methods
Reviewer_1;Author;1;2;0;English language should be improved.
Reviewer_2;Author;1;1;0;"Sometimes the document is different to follow due to English issues. Examples: Page 1, Lines 9-11: ""In order to enhancement the antioxidant properties of rice bran, solid state fermentation of rice bran with mixed bacteria was adopted and optimized fermentation technology.""; Page 4, Lines 141-143: “In the morning (on set light), breeding 9 fishes interbreed 1h, embryos were obtained from natural spawning collection of embryos were completes in petri Dishes; Page 4, Lines 153-155: “AAPH group only added AAPH. Four experimental groups were added AAPH and 0.1, 0.2, 0.3, 0.4 mg/ mL sample, respectively.”; Page 5, Lines 188-190: “The optimum sodium humate content was found to be 1.0 %, which DPPH free radical scavenging rate of 81.22%.”; Page 6, Lines 218-219: “The significantly less polysaccharide content of FRBE than that of RBE (P＜05).”; Page 8, Lines 241-242: “Schmidt et al. (2014) also found that ferulic acid content of rice bran water-soluble extracts significant improvements, up to 765 mg/g [16].”; Page 10, Lines 321-323: “At the concentration of 0.3 mg/mL and 0.4 mg/mL, CAT activity induced by AAPH of FRBE group significantly higher than that of AAPH and RBE.”."
Reviewer_2;Author;1;2;0;"Explain what FRBE is. It appears for the first time on Page 1, Line 17;"
Reviewer_2;Author;1;3;0;The hot water extraction conditions were tested before?
Reviewer_2;Author;1;4;0;What do the authors mean by 24hpf (Page 4, Line 148)?
Reviewer_2;Author;1;5;0;"Explain what AO solution is. It appears on Page 4, Line 162;"
Reviewer_2;Author;1;6;0;Explain the role of sodium humate.
Reviewer_2;Author;1;7;0;Page 6, Lines 217-218: Check the values presented in the following sentence: “As shown in Table 1, the water-soluble polysaccharide content of FRBE and RBE were 552.30±2.68 mg g-1 and 450.28±1.69 mg g-1 respectively.”, because they are opposite to the ones presented in Table 1.
Reviewer_2;Author;1;8;0;Table 1: The number of decimal places of some constituents is excessive. Example: for polysaccharide content, I suggest writing 552+3 for RBE.
Reviewer_2;Author;1;9;0;Why did the water-soluble phenolic acids contents increase after the fermentation?
Reviewer_2;Author;1;10;0;Page 9, Line 280: Is Fig. 3b showing different groups of LPO rate, or is Fig.3a?
Reviewer_2;Author;1;11;0;Page 10, Lines 306 and 307: check the 73.85 and 77.00 values. They seem interchanged with each other.
Reviewer_2;Author;1;12;0;Rewrite the first sentence in Conclusions.
Reviewer_2;Author;1;13;0;"Page 1, Line 9: Change ""tastea"" to ""taste""."
Reviewer_2;Author;1;14;0;Page 2, Lines 66 and 67: Write the microorganisms' names in italic.
Reviewer_2;Author;1;15;0;"Page 3, Line 124: Change ""ethyl acetate reagents"" to "" ethyl acetate reagent""."
Reviewer_2;Author;1;16;0;Page 3, Line 124: What do you mean “oscillated for 10 minutes”? Is mixing for 10 minutes?
Reviewer_2;Author;1;17;0;"Page 4, Line 131: Change ""flsk"" to ""flask""."
Reviewer_2;Author;1;18;0;"Page 4, Line 133: Change ""VWD detector"" to ""Variable wavelength detector (VWD)""."
Reviewer_2;Author;1;19;0;Page 8, Line 261: Change “FRB” to “FRBE”.
