Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;Figure 1: Are colors in Figure 1 A related to the hydrostratigraphy or depicting topography? If the latter applies, make sure to provide a scale.
Reviewer_1;Author;1;2;0;Figure 2: The left spine (or border) does not appear on the pdf reviewed. This figure could be improved by adding shaded satellite image to help the reader compare the mapped drainage systems (which were automatically mapped) and fault traces/lineaments with the real features observed.
Reviewer_1;Author;1;3;0;Figure 3: The text (lines 258-259) mentions magnetic lineaments as prominent features, which can be caused by faulting. Such features are hard to visualize. It would certainly help if they were highlighted directly on the figure.
Reviewer_1;Author;1;4;0;Figure 4: This figure could go in the appendix. It is good to let the reader know that not all seismic surveys provided the same quality, but this is more a technical point.
Reviewer_1;Author;1;5;0;Figure 6: Put the title of each subfigure above the plot. It doesn’t read well otherwise.
Reviewer_1;Author;1;6;0;Figure 7: What is special about the locations highlighted by the markers (crosses on Figure 7B and square markers on Figure 7C). At this scale, the reader can’t see much detail.
Reviewer_1;Author;1;7;0;Figure 9: Remove ‘s’ from <10 yearss. Also, increase the thickness of the fault lines to make them more obvious.
Reviewer_1;Author;1;8;0;Lines 271-272: Why is the signal quality so variable, and how were the categories (excellent, average and poor) defined?
Reviewer_1;Author;1;9;0;Lines 323-324: The authors should explain why low magnitude local seismic signals can be believed to represent permeable pathways promoting water or gas migration.
Reviewer_1;Author;1;10;0;Lines 339-357/Section 4.3: The map shown on Figure 9 that provides the location where groundwater and springs were sampled could be referred to.
Reviewer_1;Author;1;11;0;Line 360: Here and throughout the text, the word ‘recent’ is used to describe some tectonic activity. It would be good define what recent means in the context of this study. An indication is provided in the Discussion (Line 414), but it would go to state this value upfront in the text.
Reviewer_1;Author;1;12;0;Discussion: One general comment, could the use of other tracers (radon, of stable isotopes of water) yield also insight on the origin of the fluids sampled in this study?
Reviewer_2;Author;1;1;0;Aeromagnetic survey data acquired over the last 50+ years were employed for mapping structural and lithological features. Although the aeromagnetic data is said to be employed for structural interpretation, details somewhat sketchy. Reference is made to “…prominent […] magnetic lineaments which can be caused by faulting”, and “…several circular low magnetization anomalies, approximately two kilometers in diameter, aligned with northwest trending lineaments”. It would be nice to include a map with these features and lineaments interpreted from the aeromagnetic datasets. This would also tie the observations based on this dataset closer to the seismic interpretation (see below).
Reviewer_2;Author;1;2;0;Seismic reflection 2D lines (1989-2015). 8500 km. Interpretation of shallow horizons and faults using all publicly available geological and geophysical data of the Beetaloo region. Fault polygons defined for five horizons. Depth conversion using check-shot velocities from 26 wells. See comments to Figure 4. The depth maps provided in Figure 5 should be supplemented by isochore maps for the rock volumes between pairs of mapped reflectors. See also comments to Figure 7.
Reviewer_2;Author;1;3;0;Helium measurements from groundwater samples. With respect to the helium measurements, no detailed documentation of where these samples were collected is provided beyond referring to Geological and Bioregional Assessment Program (2021a) Fact sheet 12, and Geological and Bioregional Assessment Program (2021b) Regional tracer results from the Cambrian Limestone Aquifer. These are both summary documents. Please provide a reference to the primary documentation.
Reviewer_2;Author;1;4;0;Fault and surface drainage network mapping (tectonic geomorphology). The drainage network was extracted automatically. It is not clear if the “simplified” drainage network shown in Figure 2 was also extracted automatically. The data is summarized in Figure 8 (see also comments to Figure 8 below). It is not clear if the surface drainage network line dataset is based on the “unfiltered” or “simplified” data shown in Figure 2. Since n=130, one can assume the latter. It is however not made clear how this “simplified” network was generated, but there appear to be a substantial number of instances where the “simplification” provides apparent mismatches with the original data (see examples included in comments to Figure 2 below). The accuracy of the resulting plot can therefore be questioned. If the “simplified” network was generated automatically, I encourage the authors to do a manual QC of the results.
Reviewer_2;Author;1;5;0;Line 303: “We reviewed the seismic data in detail at the intersections with north-northwest trending lineaments observed on the magnetic dataset (Figure 4).” No such lineaments are shown in Figure 4
Reviewer_2;Author;1;6;0;-Line352: “However, the elevated helium concentrations show no systematic pattern of increase with flow distance (as expected for in-situ production along the flow path) but a rather patchy regional pattern (Figure 8).” This should refer to Figure 9.
Reviewer_2;Author;1;7;0;Line 582. Link for supplementary materials does not work.
Reviewer_2;Author;1;8;0;Add scale
Reviewer_2;Author;1;9;0;Add colour scale for map (depth).
Reviewer_2;Author;1;10;0;Well- and fault-labels largely illegible. Consider removing labels not referred to in the text.
Reviewer_2;Author;1;11;0;Poor visual discretization of main surface fault traces and Post Wilton geophysical faults (maybe use different colour for the two?)
Reviewer_2;Author;1;12;0;Replace white labels with black lettering with no labels and white lettering.
