Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;Have authors followed on the bleeding complications like epistaxis, menorrhagia, gum bleedings, etc.?
Reviewer_1;Author;1;2;0;Authors mention there were 2 cases of hematoma in enoxaparin group. Please describe it further. Were hematomas developing paraumbilically? Or were they seen somewhere else?
Reviewer_1;Author;1;3;0;Extensive English editing is required.
Reviewer_1;Author;1;4;0;Citations needed for sentences in line 36 and line 37.
Reviewer_1;Author;1;5;0;"In line 89 authors state that ""thrombophilic states are rather venous than arterial"". Although this may be true from a prevalence standpoint, the way this sentence is structured would mislead the reader. Revise accordingly, since there a number of arterial thromboses that thrombophilias can cause."
Reviewer_1;Author;1;6;0;"In line 87 - authors state ""mild thrombophilia"". Severity of thrombophilic states are now yet well categorized, therefore more clarification needs to be provided here."
Reviewer_1;Author;1;7;0;Enoxaparin and rivaroxaban have to be lower case as they are not brand names.
Reviewer_1;Author;1;8;0;"Line 150 - it should be ""anti-thrombotic"" rather than ""an-thrombotic""."
Reviewer_1;Author;1;9;0;P values have to presented in Table 1.
Reviewer_1;Author;1;10;0;Line 179 - authors first mention 39 factors, and then in line 179 state 40. Which is true?
Reviewer_2;Author;1;1;0;In the Abstract you state that “two patients during their course of Rivaroxaban presented severe hematoma”, but in Table 1 it appears that the two hematomas occurred in the enoxaparin group? Please clarify.
Reviewer_2;Author;1;2;0;The introduction is not well written. The structure is unclear, and the authors repeat themselves many times. For example, the section begins with introducing inherited thrombophilias and VTE risk in these conditions, then proceeds to surgery, then back again to thrombophilia where it repeats itself and even states other numbers for prevalences and VTE risks than previously stated. Furthermore, suitable references are lacking in some places. For the present study to be acceptable for publication, the introduction should be thoroughly revised.
Reviewer_2;Author;1;3;0;"On page 1, lines 37-43, you state that: “The most important thrombophilic deficits, such as protein C, protein S and ATIII deficiency, have a 15-30 times higher thrombosis rate in the general population, with a prevalence of 0.14%-0,5 for C protein, 0.1-1% for S protein and 0.02-0.17% for TIII deficit. In the feared Factor V Leiden and PT 20210 gene homozygous, that present an about 80 times increased thrombotic risk, considering the frequency among general population, the rarity of these cases is more evident.” Could you please cite relevant references for these prevalences and relative risks? Also, I know that relative risk estimates for VTE with different thrombophilias may vary and are uncertain, especially for the rarer thrombophilias. Nonetheless, an 80 times increased thrombosis risk with FV Leiden or FII 20210 homozygosity seems very high to me; it has been reported considerably lower e.g. in Sode et al CMAJ 2013 doi: 10.1503/cmaj.121636."
Reviewer_2;Author;1;4;0;Page 2, lines 47-48: “…and they present a highest thrombotic risk, 2-3% for 20210 gene, 3-8% for Factor V Leiden [1].” This sentence is not clear. 2-3% of what for the 20210 polymorphism and 3-8% of what for FV Leiden? Also, “20210 gene” should be “20210 polymorphisms, or “G20210A polymorphism” to be completely correct.
Reviewer_2;Author;1;5;0;Page 2, lines 87-88: “In this regard it is widely demonstrated that almost half of surgical patients who developed VTE have a mild thrombophilic syndrome [18].” This is rather an astonishing statement, and as your source, you cite a paper from the “Australian Family Physician”. Furthermore, what does “a mild thrombophilic syndrome” even mean? Please explain, or consider omitting this statement altogether.
Reviewer_2;Author;1;6;0;Page 3, lines 129-130: “We followed up a consecutive homogenous cohort of 48 thrombophilic female patients who underwent abdominoplasty from September 2014 to July 2019.” First, how did you define “thrombophilic”? Second, did you perform a retrospective or “historical” study, sitting down in 2019 to review all medical records 5 years back – or did you perform a prospective study, starting in 2014 and concluding in July 2019? This should be clearly stated.
Reviewer_2;Author;1;7;0;Page 3, lines 131-133: “We compiled the Caprini Risk Assessment Score for VTE preoperatively and all the patients showed a score of 7 or more, for that reason antithrombotic chemoprophylaxis was administered.” Do you routinely perform a Caprini assessment for all patients in your clinic?
Reviewer_2;Author;1;8;0;Page 3, lines 133-134: “Patients were then divided into two groups according to the drugs employed in antithrombotic chemoprophylaxis:” How was it decided which patients received which form of prophylaxis? This is a very important point and should be described clearly.
