Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;The citations are not formatted according to the journal guidelines. Please revise.
Reviewer 1;Author;1;2;0;Include the full form of STD described in the results.
Reviewer 1;Author;1;3;0;Table 3 “Health apps and computer algorithms are for patients disturbing (=)…” should “(=)” be “(0)”?
Reviewer 1;Author;1;4;0;Line 252, 24/7 is the commonly accepted form of 7/24.
Reviewer 1;Author;1;5;0;Line 267 and 268, the description of figure 1 is not clear. Does “focused on senses” mean in-person patient-doctor interaction?
Reviewer 1;Author;1;6;0;Table 4 data suggest Digital networks increase doctor nurse communication but Line 266 says it undermines the same. Can you clarify?
Reviewer 1;Author;1;7;0;Table 5, what does numbers 1 through 7 represent?
Reviewer 2;Author;1;1;0;"The fundamental issue that needs clarity is whether or not the study design was ‘exploratory mixed methods design’ or ‘convergent parallel design.’ As far as exploratory mixed methods design is concerned, the researcher begins with qualitative data and then collects quantitative information. Typically, in this design, the researcher presents the study in two phases, with the first phase involving qualitative data collection and the second phase involving quantitative data. In this regard, your study fits with the exploratory nature.
 In an exploratory sequential mixed-methods design, the researcher emphasizes the qualitative data (QUAL) more than the quantitative data (quan). This emphasis may reveal by presenting the overarching question as an open-ended question or discussing the qualitative results in more detail than the quantitative results. However, in this manuscript, I have not seen elements of these characteristics in the paper. As I have seen a complementary role of the qualitative and quantitative pieces is apparent instead of the qualitative piece informing the quantitative pieces. For example, the description of the study design says the following. Page 2, lines 90-92,
 ‘This was then integrated into the second study phase consisting of a nationally representative sample of the same sort of cohort.’
 This description shows the integration of the two phases instead of the preceding phase informing the next phase. From the explanation in the study design and the presentation of your results, it sounds to me as if the mixed-methods nature of this study fits more with the convergent parallel design. Please, give your readers more information that conveniences the exploratory nature."
Reviewer 2;Author;1;2;0;Please, use male undergraduate students or undergraduate male students instead of ‘male and undergraduate students’ in the abstract or simply throughout the paper.
Reviewer 2;Author;1;3;0;In the abstract, lines 23-27, I suggest to use the following expression or something like that. Around 38% of the students felt ill-prepared and could not answer AI-related questions because digitization in medicine and AI are not a formal part of the medical curriculum.
