Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;The authors should provide detailed data about the concentration of heavy metals in soil and biotic samples.
Reviewer_1;Author;1;2;0;The authors were suggested to introduce the spatial variation of heavy metal in samples, and to analyze the possible factors contributing to the concentration profile of heavy metals in differnt samples.
Reviewer_1;Author;1;3;0;The authors should add section(s) for the heavy metal concentrations in biotic samples. As an example, they may analyze the influences of food intake and food intake on heavy metal exposure.
Reviewer_1;Author;1;4;0;Lines 116-118: The amounts of samples were confused. Although there were 66 children involved in this study, 66 food samples, 62 feces and 64 urine samples were collected.
Reviewer_1;Author;1;5;0;Lines 176-178: Different units between manuscript and SM (figure S1).
Reviewer_1;Author;1;6;0;Lines 209-211: Different SIR values between manuscript and figure 1.
Reviewer_1;Author;1;7;0;Lines 209 and 214: check the values of Al and Sc, because they were different among discussion, Table 1 and figure 1.
Reviewer_1;Author;1;8;0;Lines 218 and 223: check the Figure 3 and figure S1.
Reviewer_1;Author;1;9;0;Lines 253 and 377: different values between SIR and figure 3.
Reviewer_1;Author;1;10;0;Lines 348-349: correct the order of HQs.
Reviewer_1;Author;1;11;0;correct the figure caption in SM.
Reviewer_2;Author;1;1;0;Title- ‘in’ should be used for larger areas, can you add the study locations? Otherwise replace ‘in’ with ‘at’Rephrase title so as not to repeat ‘and’
Reviewer_2;Author;1;2;0;I would like to see a better description of the study location. It was only mentioned towards the end – Discussion
Reviewer_2;Author;1;3;0;Why were the food samples microwaved? Better explanation needed
Reviewer_2;Author;1;4;0;why were the feces samples not microwaved?
Reviewer_2;Author;1;5;0;why different processing for different samples? Better explanation needed
Reviewer_2;Author;1;6;0;Line190 – why was 350d/y taken? Explain for better understanding
Reviewer_2;Author;1;7;0;Table 1 – is it possible to list/ summarise the data for each day?
Reviewer_2;Author;1;8;0;Line 294 – what is meaning of BTM, Would prefer re-introduction of the full meaning of acronyms in each sub-section
Reviewer_2;Author;1;9;0;Line 320 -Also descript the study location in the method section
Reviewer_2;Author;1;10;0;Line 342- Describe with references the values for carcinogenic risk and non-carcinogenic risks in the methos sections before mentioning it in the discussion section.
Reviewer_2;Author;1;11;0;Line 346 – What is HQ? Also describe in the methods section
Reviewer_2;Author;1;12;0;Line 368 – what is the meaning of ‘Whatever’? please rephrase
Reviewer_2;Author;1;13;0;Will like to see references on the metal concentrations at the e-waste recycling site.
Reviewer_3;Author;1;1;0;Page 2, lines 76-78: You can remove this sentence: a class of elements in the human body that are not easily absorbed by the human gastrointestinal tract and are also difficult to be transformed into other substances it’s not necessary
Reviewer_3;Author;1;2;0;"Page 3, lines 99-100:
 please, add references for the following information
 South China's economic conditions are better than in North China, but the environmental pollution is worse. The site we studied is an e‒waste dismantling area with severe soil pollution that is typical of e‒waste dismantling areas in South China."
Reviewer_3;Author;1;3;0;"Page 3, lines 116 and 120: Please, add technical details about:lyophilization of food samples.
 Freeze-drying conditions of feces."
Reviewer_3;Author;1;4;0;Page 3, lines 121-124:Please, add some information: How did you collect dust samples?How much soil (kg) did you collect for each sample? Was the soil quartered?
Reviewer_3;Author;1;5;0;"Page 3, lines 131-151: Please, add some information:How many millilitres of HNO3, H2O2, HF, HClO4 did you use for the digestion procedures (food samples, faces samples, soil and dust samples)?
 Please, use element symbols not the entire name in all the manuscript. Temperature of the heating plate for faces sample digestion. Specify the mixed standards and certified reference materials used for calculating accuracy of the digestion procedure.Which reference solutions were used to evaluate accuracy and precision of ICP-OES and ICP-MS analysis? Please, add the instrument model."
Reviewer_3;Author;1;6;0;"Lines 131-135: Please, modify as suggested
 Crushed food samples (1 g) were microwaved with concentrated nitric acid and hydrogen peroxide (HNO3‒H2O2). The supernatant was extracted and analyzed by High Resolution Inductively Coupled Plasma Mass Spectrometry (HR‒ICP‒MS) to determine Mn, Al, Ba, Ti, Ce, V, Sc, and Y.
 Lines 137-138: Please, modify as suggested
 The supernatant was then extracted and analyzed by HR‒ICP‒MS to determine Mn, Al, Ba, Ti, Ce, V, Sc, and Y,"
Reviewer_3;Author;1;7;0;Please, add labels (a, b, c, etc.) in each figure and update the captions. Also in the supplementary. Please, check captions of figures S2 and 3 that are identical.
Author;Reviewer_1;2;1;1;Thank you for your advice. At first, the soil heavy metal data has been added in the supporting information (Table S4 and S5). Besides, our study focuses on estimating the children’s SIRs of from e‒waste disassembly areas by collecting and analyzing selected tracer elements in matched samples of their consumed food, feces, and urine, as well as soil samples from their play areas. We have examined the tracer elements in the food. And when we calculated the SIR, we also used the parameter “Cfood” (equation 1) to analyze the food intake.
Author;Reviewer_1;2;2;2;In addition, children’s feces and urine belong to biological samples, which is sufficient to calculate the SIR. Application of more biotic samples that you suggested is useful for our study, however, it is hard to get other samples from children, such as blood and tissue.
Author;Reviewer_1;2;3;3;At last, we also added the heavy metals information in resident or park green areas: “In resident and park green areas, the highest concentration of heavy metals is Zn and the lowest is Cd. The concentrations of heavy metals in park green areas were slightly higher than that in residential area, which may attribute to the difference of soil environmental quality management and control policy between these areas. Integrated data from the resident and park green areas, the median concentrations (mg/kg) of Cr, Ni, Cu, Zn, As, Cd, and Pb were 48.8, 63.9, 128, 413, 6.30, 0.513, and 115, respectively.”
Author;Reviewer_1;2;4;4;Thanks for your reminder. In our study, 66 children were taken part in our analysis. But we failed to get all children’s feces and urine sample every day. Thus, we collected sample number was less the involved 66 children.
Author;Reviewer_1;2;5;5;Thank you for your reminder. We have uniformed the units to “(mL/d)”
Author;Reviewer_1;2;6;6;Thank you for your correction. In the manuscript, the data is with outlier. However, we used the data without outlier to construct the figure. At present, the related content in manuscript has been revised to: “The SIR values based on the measured tracer element concentrations of food, feces, urine, soil and dust are presented in Table 1 and Figure 1. The median (minimum and maximum) of SIR values were ‒124.3 (‒278.0 to 228.2), ‒210.2 (‒490.1 to 273.8), 27.1 (0.4 to 106.0), ‒22532.8 (‒29443.8 to ‒6215.9), 23.9 (‒45.3 to 268.0), 175.3 (‒56.4 to 1040.7), 39.2 (‒36.4 to 284.0), and ‒263.2 (‒491.4 to 132.3) mg/d for Al, Ba, Ce, Mn, Sc, Ti, Y, and V.”
