Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;the manuscript feels like a lot of work has been done, but it doesn't specify what the important conclusions and innovations are.
Reviewer 1;Author;1;2;0;The abstract and conclusion parts lack conciseness and prominence.
Reviewer 1;Author;1;3;0;Especially in the results and discussion section, most of the content is to state the experimental results (correlation of data), while the discussion (eg. prediction mechanism, prediction accuracy, etc.) is not in-depth, and the analysis of model accuracy is rarely involved in the discussion.
Reviewer 1;Author;1;4;0;When the samples are grouped, it is generally carried out according to 7:3 or 3:1 or a certain ratio. There are 114 soil samples in this study, what is the basis for grouping by 88/26 (77.2%/22.8%)?
Reviewer 1;Author;1;5;0;Should the writing of the results and discussion sections be separated? Please think carefully.
Reviewer 1;Author;1;6;0;During the discussion, the reasons behind the experimental results should be analyzed, not only from the correlation between the sample data but also cannot be explained by relying too much on the VIP score curve.
Reviewer 1;Author;1;7;0;In addition, partial correlation analysis (e.g., Cheng et al., 2019) could be helpful and bring more insights given the fact that soil spectra are simultaneously influenced by several soil properties (e.g., SOM and Iron oxide). 
Reviewer 1;Author;1;8;0;Line 104, 195, 223, 544: Is it “modelling” or “modeling”? The whole text should be unified.
Reviewer 1;Author;1;9;0;Lines 145-146: “, soil reaction (pH) in 1:1 soil to KCl solution” is not clearly expressed.
Reviewer 1;Author;1;10;0;Lines 163-164: “…were conducted under a controlled laboratory environment.” Can you explain this sentence? Generally, soil spectral measurement is carried out in a dark room to avoid interference from external light sources.  What does the controlled laboratory environment you describe look like?
Reviewer 1;Author;1;11;0;Line 174: “…resulting in 12 spectra”. It is not clear how the 12 spectra were obtained here.
Reviewer 1;Author;1;12;0;Line 176: “…resulted 50 spectra…”. It is also not clear how 50 spectra were obtained.
Reviewer 1;Author;1;13;0;Line 190: “…moving window sizes (mainly 7, 9 and 11)”. Need to use 3 different moving window sizes? It undoubtedly increases your experimental workload, and you do not explain it later. As far as I know, most articles use only one moving window size.
Reviewer 1;Author;1;14;0;Line 191, 365: “…with different gaps and segment sizes.” “…with gap segment size of…”. Do these two places mean the same thing?
Reviewer 1;Author;1;15;0;Line 194: “was” should be “were”. Please pay attention to the singular and plural in the sentence.
Reviewer 1;Author;1;16;0;Line 233: It’s usually written as “Results and discussion”.
Reviewer 1;Author;1;17;0;Line 243: “(pH, temperature, precipitation)” should not be placed after the word elevation.
Reviewer 1;Author;1;18;0;Line 264: “…CaCO3 and Fe),”  Where is the left parenthesis?
Reviewer 1;Author;1;19;0;Line 264: “…, and hence parent material.” It’s not clear here.
Reviewer 1;Author;1;20;0;Lines 281, 249: Why did you use Spearman's Rho correlation coefficients earlier and Pearson correlation coefficients here?
Reviewer 1;Author;1;21;0;Lines 325-328: “Regardless of… spectra.” Is there a necessary connection between these two sentences? The spectral absorption characteristics near 1400, 1900, and 2200 nm have their corresponding influencing factors.
Reviewer 1;Author;1;22;0;Line 347: “different pattern” should be “different patterns”. Note the singular and plural in the sentence.
Reviewer 1;Author;1;23;0;Lines 353-354, 374: “Savitzky-Golay 1st derivative…” “Savitzky-Golay 2nd derivatives” This is a very confusing way to write it.
Reviewer 1;Author;1;24;0;Line 354-355: “…, in our case 11 bands…” “…in our case 10 wavebands…” It's confusing here. And all in Table 3 are “10-bands”.
Reviewer 1;Author;1;25;0;Lines 356-357: Can the first derivative preprocessing method be used to remove illumination differences?
Reviewer 1;Author;1;26;0;Lines 360-362: “… due to overtones and combination of fundamental vibrations of soil organic matter occurring in the VIS and NIR region.” The meaning of this sentence is not expressed clearly.
Reviewer 1;Author;1;27;0;Line 409: Note the singular and plural in the sentence.
Reviewer 1;Author;1;28;0;Line 449, 479: “CO3”?
Reviewer 1;Author;1;29;0;Line 455: “soil mineralogy”?
Reviewer 1;Author;1;30;0;Lines 456-457: What does this sentence do here?
Reviewer 1;Author;1;31;0;Line 471, 480, 520: “(r = 0.4*)” “(r =-0.52*)” “(r = 0.40*)”, etc. It is recommended that the number of digits after the decimal point for the value of the correlation coefficient throughout the text be consistent.
Reviewer 1;Author;1;32;0;Lines 490-491: “Unlikely, a weakly represented VIP peak centered at ~850 nm was a significant predictor for the Cd content.” The meaning of this sentence is not clear, and it is a little strange.
Reviewer 1;Author;1;33;0;Lines 516-518: You call attention to the spectral signature at 2326 nm, and then what?  Readers may be more interested in your analysis and interpretation.
Reviewer 1;Author;1;34;0;Line 520: The correlation between K content and P content is not very high (r = 0.40*), but their corresponding VIP patterns are “identical”, how do you explain it?
Reviewer 1;Author;1;35;0;Line 523: “correspond absorption” should be “correspond to absorption”.
Reviewer 1;Author;1;36;0;Lines 522-525: Is there a necessary connection between the first half of the sentence and the second half of the sentence? Is VIP peak related to Fe or SOC content?
Reviewer 1;Author;1;37;0;Lines 541-543: Is this sentence appropriate here?
Reviewer 2;Author;1;1;0;The novelty of the study should be clearly stated in the Introduction section after the objectives are formulated.
