Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;"I would
 like to see a comparison with at least one regular alignment/treeing method, based on the same genomes
 the authors used, and not just a visual topological comparison with other published trees."
Reviewer 1;Author;1;2;0;"As far as I can see, statistical support on the branches is missing, so I have no way of assessing if this
 branching order is valid. Bootstrapping or jackknifing are by no means the final word on the significance
 of branches, however an explanation as to how the user should assess the significance of braches would
 be good, i.e., branch length."
Reviewer 1;Author;1;3;0;"The fact that Thermofilum is placed outside Crenarchaeota in Figures 3 and 4 is a little disturbing. I
 haven’t come across such a placement in other phylogenetic analyses of Archaea, for example in
 Brochier-Armanet et al 2008 Nat Rev Microb, or Rinke et al. 2013 Nature. I believe this needs to better
 explained in the manuscript, rather than just saying “this fact is noted”."
Reviewer 1;Author;1;4;0;"I am also not very convinced with the placement of Nanoarchaeota. It seems like this phylum is
 moving around with the addition of new sequence data (for example in Rinke et al. Figure 2 tree, they
 are on an entirely different branch than Euryarchaeota). Though the authors also rightfully point out that
 the reduced genome size may have something to do with this placement."
Reviewer 1;Author;1;5;0;"The placement of Halobacteria (due to interfering Nanoarchaeota, I presume) is also a little
 disturbing. I would recommend that the authors provide a discussion of this. Especially with regards to
 other archaeal trees. For instance, in the tree of Armanet et al 2011 that the authors also refer to, the
 placement of Halobacteria with respect to Nanoarchaeota is very different."
Reviewer 1;Author;1;6;0;"In summary, I find the piece interesting, but parts of the discussion are rather weak, therefore I am
 suggesting a major revision. Another reason for major revision is the style that the manuscript is written.
 I am not a native speaker, but given that I had to read sentences several times, I suspect the manuscript
 can benefit from an English language check."
Reviewer 2;Author;1;1;0;"I would really appreciate a “Methods” part where the CVTree is explained shortly, and the
 tree-viewer is explained with more detail. The absence of branch lengths and bootstraps should be
 discussed here. Other technical aspects of the paper (e.g., sequence dataset), parameters, criteria ... all
 could be well organized in this part."
Reviewer 2;Author;1;2;0;"Archaeal phylogeny has already been studied in detail, with 16S and other marker genes, and with
 genomic approaches too. Some of the undersigning authors had already published on this before,
 although with smaller input datasets. Therefore, the fact that 16S topology is quite stable and
 comparable with other approaches is already known."
Reviewer 2;Author;1;3;0;"Taxonomists have traditionally circumscribed the high taxa (specially orders and classes) with great
 subjectivity, i.e., without well accepted criteria. In terms of phylogenetic trees one premise has always
 been clear, a taxon must be monophyletic. This principle has been used in the present work to reconsider
 the status of some high taxa. However, authors do not explain objective criteria to properly interpret the
 rank of the clades, which impedes making a profound evaluation of the archaeal classification.
 Therefore, although authors have strong tools and dataset, they just achieved a small revision of the high
 taxa which is, indeed, quite biased by the underlying 16S guidelines."
Reviewer 2;Author;1;4;0;"I have noted some lack of scientific rigor according to: many wrong taxonomic names and typos,
 scarce figure legends, few comments about the missing branch lengths or bootstraps (!), redundancy in
 text and figures and fragments which are really difficult to understand. Authors should pay attention to
 language, explanations and text organization."
Reviewer 2;Author;1;5;0;"Authors shouldn't forget (particularly in conclusion) that the resolution power of 16S for high ranks
 (genus and above) is currently well accepted. And the number of non-redundant 16S entries available is
 much much larger than that of archaeal genomes. 16s data offer a much comprehensive view of the
 archaeal diversity, including deep branches."
Reviewer 2;Author;1;6;0;L34–40: for me was difficult to follow this reasoning. Please rephrase.
Reviewer 2;Author;1;7;0;"L40 “Since at present (…) are not covered (...)” is a weak reason for choosing high ranks. I
 recommend to shortly summarize why high ranks are so important, and why do you choose order as
 the lowest considered rank."
Reviewer 2;Author;1;8;0;"The figure legends require more rigorous explanation. Would be interesting to remember that the
 branch lengths are not taken into account, or were omitted."
Reviewer 2;Author;1;9;0;"In Line 80—authors write some explanations to understand the tree figures. I would suggest to put
 this text before the first tree figure."
Reviewer 2;Author;1;10;0;"Figure 1 is a bit redundant. A short comment about the inclusion of that particular sequence into the
 Thermoplasmatales can be added into the legend of Figure 2."
Reviewer 2;Author;1;11;0;"However, the reclassification of Methanomassiliicoccus into Thermoplasmataceae needs more
 explanation. To be objective, authors should address the following question, why in the same family and
 not in another new family?"
Reviewer 2;Author;1;12;0;"L106–107: maybe a bit inappropriate on that position. I would suggest to add a comment on the figure
 legend instead."
Reviewer 2;Author;1;13;0;"L109–118: Summarize and move to introduction. Those sentences are of general importance for the
 topic and not specific to part 3.2."
Reviewer 2;Author;1;14;0;"L119–123: if the K issue is relevant to understand the text then please add a proper explanation. If not,
 then keep it simple and avoid entering into the K issue (L122–123, L132, L135, L139, 183, and also
 remove this K = 6 from Figure 3.)"
Reviewer 2;Author;1;15;0;Add more explanations in legend of Figure3
Reviewer 2;Author;1;16;0;"L143: Sounds clearer if you avoid mixing class and phylum, for example: “The placement of
 phylum Korarchaeota, as a closest neighbor of family Thermofilaceae, violates the monophyly of
 phylum Crenarchaeota.”"
Reviewer 2;Author;1;17;0;"L146: No need to explain the 6+2 if it is properly explained in the figure legend.
 Figure 3 is redundant. I would recommend to avoid presenting different versions of the same tree; just
 the final tree is OK (use final/valid labels) and all important explanations in the text or legend. Perhaps
 the whole reasoning in Lines 142–180 is not so relevant for the current objective of comparing CVT,
 LTP, Bergeys? Or, perhaps, define this objective more clearly."
Reviewer 2;Author;1;18;0;"L156–166. If I understood right, there was good support for Candidatus Aciduliprofundum as part of
 a clade called DHEV2, which is a sister clade of Thermoplasmatales. However in the present work the
 authors intend here to reclassify Aciduliprofundum into family Thermococcaceae of Thermococcales.
 This needs further explanation. Since the new affiliation is quite in disagreement with previous
 observations, and this is not properly justified in the results/discussion, the final statement “this
 modification would hold as long as no new facts challenge it” seems unacceptable. In addition, why should
 Aciduliprofundum be regarded as member of Thermococcaceae and not as another distinct family?"
Reviewer 2;Author;1;19;0;"L163: If I’m right the current observation actually does not support the previous work done
 by Brochier-Armanet."
Reviewer 2;Author;1;20;0;"L167–173: The names are wrongly written (please check the original submission). Authors have to
 explain with more clarity, why is this clade of rank class. If that is the case, is it a single-order class? A
 single family order? etc."
Reviewer 2;Author;1;21;0;"L174–180: I don’t understand the reasoning along this paragraph. In addition
 “haolphiic_archaeon_DL31” is not well written, please be careful when copying names from
 other source. Also, a similar question about the objectiveness for detecting high taxa: why not to
 create new family?"
Reviewer 2;Author;1;22;0;Figure 4: the reclassifications must be clearly justified in the text
Reviewer 2;Author;1;23;0;L191: organisms can't be validly published, but their names
Reviewer 2;Author;1;24;0;"L221–222: Sure, but authors do not provide explanations about how do they know that a clade in a
 tree is a family, an order, a class, etc. There is a lack of criteria to reclassify the leaves."
Reviewer 2;Author;1;25;0;L224: I don’t understand “3063 identical nucleotide positions”. Why identical?
Reviewer 2;Author;1;26;0;L239–244: hard to read, please rephrase
Reviewer 2;Author;1;27;0;"I disagree that CVTree approach is independent of 16S, because authors are using the current
 accepted classification (which is mainly 16S-based) to validate the observed clades."
Reviewer 2;Author;1;28;0;"Why at higher ranks, genomic approaches are more effective? That needs more explanation. And
 authors should also consider the large benefits of 16S data availability, specially at high ranks (genus
 and above) where the 16S has good resolution."
Reviewer 2;Author;1;29;0;L23: phynotypic → phenotypic
Reviewer 2;Author;1;30;0;L27: genomic era → the genomic era
Reviewer 2;Author;1;31;0;L39: branchings in trees are
Reviewer 2;Author;1;32;0;L40: classes → class
Reviewer 2;Author;1;33;0;L47: L48 and Fig5: Crearchaeota → Crenarchaeota
Reviewer 2;Author;1;34;0;L50: Fevridicoccales → Fervidicoccales
Reviewer 2;Author;1;35;0;L52: Thermoplasmat → Thermoplasmata
Reviewer 2;Author;1;36;0;L90: Thermopasmata → Thermoplasmata
Reviewer 2;Author;1;37;0;L92: Thermaplasmataceae → Thermoplasmataceae
Reviewer 2;Author;1;38;0;L105: on → of
Reviewer 2;Author;1;39;0;L134: monophyly or non-monophyly → monophyletic or non-monophyletic
Reviewer 2;Author;1;40;0;L164: rbosomal → ribosomal
Reviewer 2;Author;1;41;0;L206: Korarcgaeota → Korarchaeota
Reviewer 2;Author;1;42;0;L208: erenow → herenow
Reviewer 2;Author;1;43;0;L212: was → were
Reviewer 2;Author;1;44;0;L225: aligned 5993 amino acids → 5993 aligned amino acids
Reviewer 2;Author;1;45;0;L254: 15S → 16S
Author;Reviewer 1;2;1;1;"Multi-alignment of concatenated protein (or DNA) segments is a genome-scale, but not
 whole-genome approach. Its applicability depends on the scope of the phylogenetic study. When dealing
 with not-too-distantly related species it may yield more or less useful result. However, in a study
 covering many phyla it is very difficult, if not impossible, to collect a common set of conserved proteins.
 Moreover, the concatenation method can never lead to very convincing conclusion, as give or take a few
 proteins may change the result. The phylogenomics people have noticed this problem, see, e.g.,
 O. Jeffroy, H. Brinkman, F. Delsuc, H. Philippe (2008) Phylogenomics: the beginning of
 incongruence? Trends in Genetics, 22(4): 225–231.
 An example from the Bacteria domain is the relationship of the closely related Shigella and Escherichia
 coli strains. Concatenation of different number of genes led to different way of mixing-up of the two
 groups, but CVTree gave unambiguous separation of the strains as different species in the same genus
 Escherichia, see:
 G.-H. Zuo, Z. Xu, B.L. Hao (2013) Shigella strains are not clones of Escherichia coli but
 sister species in the genus Escherichia. Genomics Proteomics Bioinformatics, 11: 61–65.
 In order to carry out multi-alignment of concatenated sequences, a postdoc or well-trained PhD student
 equipped with the corresponding software is required. In contrast, with genome sequencing becoming a
 common practice in many labs it costs no additional work for a bench-microbiologist to get phylogenetic
 and taxonomic information by using a convenient and publically available tool such as the CVTree web
 serve. Well, we would be glad to see comparison of CVTree phylogeny with multi-alignment of
 concatenated proteins if anyone finds a way to do it for so many diverse phyla, but we do not consider it
 as a doable job."
