Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;"It would be better to have a short but clear description about what ""bending elasticity modulus"" is and
 its relevance to biological functions"
Reviewer 1;Author;1;2;0;The theory section could be in the Method section with both principle and procedures to get kc values
Reviewer 1;Author;1;3;0;"However, not all results seem to be presented. For example, it is not clear what kind of images were
 recorded, which were used to calculate the kc values, what the sizes/shapes of the fluctuating vesicles
 looked like. How these observations would be different or similar to other types of vesicles."
Reviewer 1;Author;1;4;0;"It is also not clear about the “thermally induced shape fluctuations”, such as the temperatures and
 incubation length and etc., especially this is a hyperthermophilic archaeal membrane vesicle, which
 would be expected to be more thermostable than those eukaryotic ones."
Reviewer 1;Author;1;5;0;We have rewritten the introductory paragraph (Lines 46–60).
Reviewer 1;Author;1;6;0;"There are two reference lists, one for 1–31 and another from 1–34. There are repeated ones. It’s not
 clear why the case was."
Reviewer 2;Author;1;1;0;"This manuscript described the measurement of bending elasticity of giant vesicles (GVs) prepared by
 archaea-derived lipids. Stroboscopic illumination measurements of GVs and theoretical models about
 shape fluctuation of GVs revealed that the archaeal lipid-based GVs showed the almost same value of
 bending elasticity modulus with synthetic lipid-based GVs. According to the authors, this is the first
 report for the measurement of bending elasticity modulus for archaeal lipid-based GVs. The
 measurement itself is novel, but same methods and theories have been reported in the authors’ previous
 papers. In addition, the number of tables and figures are too low for article. If could, the author should
 add other experimental data."
Reviewer 2;Author;1;2;0;"I also have questions and comments for acceptance. The list of comments is as follows.
 In Page 1, Lines 27–28, the author described “the experimental set-up was improved …”. However,
 the authors have already reported the measurements of bending elasticity using stroboscopic
 illumination in author’s previous papers (such as Genova et al., J. Optoelectro. Adv. Mat., 2005).
 Describe how the experimental set-up was improved in this paper more precisely."
Reviewer 2;Author;1;3;0;"As a comparison of archaeal lipids, SOPC was used in this study. SOPC contains an unsaturated bond
 in its alkyl chains and its transition temperature seems to be quite low compared with archaeal lipids.
 What is the reason why the authors selected the SOPC for the representative of eukaryotic lipids?"
Reviewer 2;Author;1;4;0;In page 4, between line 108 and 109, this equation should be numbered as (6).
Reviewer 2;Author;1;5;0;"Describe the temperature condition for measurement of fluctuation of GVs. Are there any effects of
 temperature on the fluctuation of GVs?"
Reviewer 2;Author;1;6;0;"In this paper, bending elasticity modulus was measured in pure water. Are there any effects of ionic
 strength or composition of solution on the fluctuation of GVs?"
Author;Reviewer 1;2;1;1;"Bending modulus is a material constant which does not depend on the size and shape of the
 object, but on the composition of the vesicle membrane and aqueous solution used (Lines 121–123 in the
 new version). We have inserted a definition of the membrane bending modulus (Lines 115–116) while
 the text regarding this issue extends between Lines 112–128."
Author;Reviewer 1;2;2;2;"As the referee suggested The Theory and Experimental section were organized into the
 Section “Materials and Methods”. Other sections were renumbered accordingly."
Author;Reviewer 1;2;3;3;"As it was explained in the text our experimental method is developed for application to almost
 spherical vesicles. Vesicles with diameters between 20 and 40 micrometers were considered, whose
 deviations from spherical shape (fluctuation of the radius) were small in comparison with the mean
 sphere radius. We added the information concerning the shape and the size of the studied objects and
 added pictures of the equatorial cross section of a fluctuating vesicle (new Figure 3), as seen under the
 phase contrast microscope."
Author;Reviewer 1;2;4;4;"The observed fluctuations of the membrane do not destabilize it. However, the comment of the
 reviewer is notable and we state in the conclusion of the manuscript (Lines 229–232) that at room
 temperature the thermophilicity is not necessarily related to the bending elasticity."
Author;Reviewer 1;2;5;5;"It would also be helpful to clarify/expand the description about the drug delivery system using the
 archaeal vesicle.
 The first sentence in the introduction section should be corrected as cell should not be considered to
 be “the building block of life”. It’s better to re-write the “basic motivation” for the study."
Author;Reviewer 1;2;6;6;Thank you for the comment, there was a mistake. We have tidied and updated the references
