Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;"How do the WAXS and SAXS differ? How do these experiments 
differentiate between increasing the number of defects and the size of the defects?"
Reviewer 1;Author;1;2;0;"The authors mention cracks as well as voids. How are the cracks 
differentiated from the voids? Were voids observed? Could computed 
microtomography be used to confirm some of the experimental results?"
Reviewer 1;Author;1;3;0;Are your pores assumed to be spherical? Are cracks cylindrical?
Reviewer 1;Author;1;4;0;I would be interesting to have additional support for the process by using thermal experiments such as differential scanning calorimetry (DSC). How do you results compare to phase transformation measured using DSC? Are the onsets and finishing of the phase transformations consistent with the DSC measurements?
Reviewer 1;Author;1;5;0;Do your experiments (WAXS and SAXS) measure the defect size and number of defects or is a model used to infer these quantities?
Reviewer 1;Author;1;6;0;What do the colors in your figures represent?
Reviewer 1;Author;1;7;0;"Could there be any other explanation rather than increase in number of internal nano-scale pores? Could the increase be due to larger defects rather than an increase in the number of defects? If so, how do you prove this? Could you use X-ray 
microtomography on your samples?"
Reviewer 1;Author;1;8;0;Is the temperature high enough to cause decomposition effects? If so, do the decomposition products form bubbles in your solvent? If so, could this bias your conclusions?
Reviewer 1;Author;1;9;0;Can you explain why an increase in scattering intensity indicates increase in more small voids rather than an increase in existing void sizes?
Reviewer 1;Author;1;10;0;"Could you be more specific on the ""spherical model"" on line 170? Co you assume the pore volume remains unchanged, but the number increases? or visa verse?"
Reviewer 1;Author;1;11;0;What do you mean by “are calculated”on line 199? What are the basic equations and assumptions for this calculation?
Reviewer 1;Author;1;12;0;Again, what is happening? Are the number of pores increasing or is the existing pores increasing in volume?
Reviewer 1;Author;1;13;0;"I also noticed that your references did not include any of the more 
recent work published in 2021 or 2022. There are some more recent articles that would be worth citing."
Reviewer 2;Author;1;1;0;In the introduction, the authors foreground their work, focusing on the relationship between the presence of pores and sensitivity. It indeed the case, but I could not find any discussion on this issue. Therefore, I suggest include some comments on this and, probably, provide some discussion of how to avoid the increase of such defects, which increase sensitivity of energetic crystals, in particular CL-20.
Reviewer 3;Author;1;2;0;Section 2.1. Materials and instruments, you need to specify the particle size of the initial CL-20 powders.
Reviewer 3;Author;1;3;0;“The electron density of ε-CL-20 crystal form is 622.7 nm-3 and that of γ-CL-20 is 584.8 nm-3, while the electron density of GPL107 is 571.7 nm-3” You need to specify the reference in which this data were obtained.
Reviewer 3;Author;1;4;0;"Page 6. 199-198
“The specific surface area and volume fraction of pores are calculated, and the results are shown in figure 7.”  From the text of the manuscript it is not clear what method was used to obtain the calculated data on the specific surface area and volume fraction of pores."
Reviewer 3;Author;1;5;0;The conclusion must be supplemented with a forecast about the change in the performance of the SL-20 in terms of safety and suitability for use after temperature effects.
Author;Reviewer 1;2;1;1;"Wide Angle X-ray Scattering (WAXS) and Small Angle X-ray Scattering (SAXS) obey the same Bragg's Law (2dsinθ=nλ), but with different distance from sample to detector. With a distance about 384 mm in this work, the WAXS can 
measure the structure from 0.12 nm to 0.45 nm, which correspond to the crystal lattice, while SAXS can measure the structure from 10 nm to 80 nm, with a distance of 2484 
mm. In a SAXS curve, the strength reflect the number of defects, while the q range reflect the size of the defects."
Author;Reviewer 1;2;2;2;"Thanks for your question, we looked up several literature and couldn't find a fixed usage of cracks and voids, and in this article, we think that using pores would 
completely cover our research objectives, so we deleted the cracks in this paper. Computed microtomography is usually used to confirm the voids in micron-scale but this paper focuses on nano-scale voids."
Author;Reviewer 1;2;3;3;Yes, the pores are assumed to be spherical in the fitting of SAXS data, because the spherical model is the simplest and widely used model in the SAXS fitting. The voids are cylindrical that is close to a spherical, so we can get a relatively accurate size distribution by assuming to spherical.
Author;Reviewer 1;2;4;4;"Yes, we had an experiment of differential scanning calorimetry (DSC) to characterize the process, as shown in Figure 1. According to the result from DSC, there were an endothermic peak of phase transformation between the temperature range of 151~172 ℃, which are not exactly consistent with the results from in this paper. We think the difference in temperature is result from the different sample amount and heating rate. As with X-ray diffraction (XRD), the WAXS can be used to 
characterize the content of different phase in the phase transformation. So, we think the results in our paper is reasonable."
Author;Reviewer 1;2;5;5;SAXS can be used to measure the defect size and number of defects with rational theory and adequate validation in many
Author;Reviewer 1;2;6;6;The colors in figure 1 and 3 represent the strength of scattering, while the colors in other figures just represent different date.
Author;Reviewer 1;2;7;7;"The result of SAXS is a reflection of two-phase with different electron density. In our paper, the CL-20 powders are immersed in GPL107 with a approximately equal electron density with CL-20 crystals, so the SAXS reflects the nano-scale pores inside CL-20 powders. Thereby, the increase of strength in SAXS curve reflects the increase in number of internal nano-scale pores. According to the principle of SAXS, the scale of defects is correlated with the q range, so the growth into larger defects will appear in other q range. X-ray microtomography is usually 
used to confirm the voids in micron-scale but this paper focuses on nano-scale voids"
Author;Reviewer 1;2;8;8;The GPL107 is resistant to high temperatures about 400 ℃, and we used the SAXS patterns of GPL107 at different temperature as the background to correct any bias at different temperature.
Author;Reviewer 1;2;9;9;According to the principle of SAXS, the scale of defects is correlated with the q range, so the increase in scattering intensity in lager q range can be explained into the increase in more small voids. And also, our fitting result can provide more obvious display.
Author;Reviewer 1;2;10;10;"In our paper, spherical model was just a choice in the SAXS date fitting, so we did not provide more illustrate, but a reference (L A Feigin and D I Svergun, Structure Analysis by Small-Angle X-Ray and Neutron Scattering, Plenum Press, New York, 1987) was provide in the manuscript. On line 173, we gave a conclusion 
“the number of pores increased, but the size distribution did not change.” We did not consider the pore volume, but we can deduce that the pores volume increase as the increase of the number of pores."
