Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;The manuscript by Sharmin Akther Rupa et al, the manuscript has many serious concerns on the basis that it cannot be accepted in this journal. for example, 13C NMR must be 100 MHz not 400 MHz, value must be either ascending order or descending order (13C NMR (400 MHz, DMSO-d6, ppm): 14.82 (-CH3), 149.25 (-C=N-), 153.65 (Ar-C), 125.26 (Ar-C), 140.31 (Ar-C),159.11 (C=O), 130.04 (Ar-C), 112.83 (Ar-C), 109.34 (Ar-C), 123.05 (Ar-C). above example showed the manuscript not written carefully.
Reviewer_1;Author;1;2;0;Second one that is very important for this paper: The activity of L2 molecule against Bacillus Megaterium (PDB 4j6u) was significant with a binding energy of -8.8 kcal/mol and three hydrogen bond interactions, which reveals the antimicrobial activity of the molecule. Both compounds are biologically active, but their activity was moderate which did not support their efforts.
Reviewer_1;Author;1;3;0;Third one their binding study: 1. Why did the authors consider Tyrosinase from Bacillus megaterium N205A mutant pdb id 4j6u? As they did not report any enzyme specific inhibition related experiments. 2. Docking is a preliminary experiment. How did the author validate the docking protocol? The authors are suggested using some decoy ligands and calculating the enrichment value in order to justify the docking protocol followed by ALA scan (Alanine scanning) based MD experiments. In addition, authors are suggested to report at list 100ns Molecular dynamics (MD) simulation guided protein-ligand stability report followed by either MM-GB or PB-SA based thermo data analysis. 3. The pdb id 4j6u does not contain any bound ligand. How did the author select the binding site? If a few sets of amino acids were considered to define the binding site, then on what basis they select them? 4. The authors did not report any Tyrosinase enzyme inhibition assay, they are requested to justify Tyrosinase inhibition as the probable mechanism of action for these sets of ligands by providing suitable literature references.
Reviewer_2;Author;1;1;0;"Abedin et al. explored ""Synthesis of Novel Tritopic Hydrazone Ligands: Spectroscopy, Biological activity, DFT, and Molecular docking Studies"". The manuscript is well-written and must be accepted in its present form for publication in Molecules."
Reviewer_3;Author;1;1;0;The abstract is somehow unorganized. Even if it is an unstructured abstract, it should respond to the following point one after the other. Background, aims, methods, results, and conclusion
Reviewer_3;Author;1;2;0;The background is missing.
Reviewer_3;Author;1;3;0;The aims are not clearly presented.
Reviewer_3;Author;1;4;0;Methods should be written in brief before presenting the results.
Reviewer_3;Author;1;5;0;"Results they took the most of your abstract. Please be brief; most of the text is not important for a reader who only wants to get an idea about your paper before reading it. Just put your key results in brief."
Reviewer_3;Author;1;6;0;The conclusion is missing.
Reviewer_3;Author;1;7;0;Font of the reference is different from the text
Reviewer_3;Author;1;8;0;This sentence “‪Polytopic ligands containing hydrazide-hydrazone moiety (—CO—NHN=CH—) are important for new drug development” should be better connected to the next one to explain why they are important for new drug development
Reviewer_3;Author;1;9;0;Replace “‪In addition to that, the compounds were tested in vitro bioassays against some Gram-negative and Gram-positive ‪bacteria and the fungus strain showing specially promising results for L2. Molecular docking methodology was used to study molecular behavior of L1 and L2 with Bacillus Megaterium to identify their binding interactions” with “‪In addition to that, the compounds were tested in vitro against Gram-negative and positive ‪bacteria and two fungi. Molecular ‪docking was used to study the molecular behavior of L1 and L2 against tyrosinase from Bacillus megaterium.‪
Reviewer_3;Author;1;10;0;Reference for the used strains is required. Why are those specific strains used?
Reviewer_3;Author;1;11;0;ODB ID 4j6u is for tyrosinase from Bacillus megaterium, not the bacillus megatherium cristal structure. Please change the info accordingly
Reviewer_3;Author;1;12;0;The data at least should be split into 2 more subheads, one for the ligand and receptor preparation and the second for the docking analysis. Divide the data into those 2 subheads and add more about the software used to perform the docking and the parameters used (Grid box, extensiveness …)
Reviewer_3;Author;1;13;0;There is no proper description of the results and no discussion in this part.
Reviewer_3;Author;1;14;0;"This sentence should be moved to the materials and methods or deleted from the section “‪Two gram-positive Staphylococcus aureus (cars-2) and Bacillus Megaterium (BTCC-18),
 ‪two gram-negative Escherichia coli (carsgn-2) and Salmonella Typhi (JCM-1652) bacteria,
 ‪and two fungal strains Trichoderma harzianum (carsm-2) and Aspergillus niger (carsm-3)
 ‪were used in this study.”"
Reviewer_3;Author;1;15;0;The molecular docking study is missing a control to properly analyse the results.
Reviewer_3;Author;1;16;0;Conclusion: Repeated abstract. The conclusion must remind the reader why the article was written in the first place and why it is important in the field. The conclusion should briefly give an insight into the obtained results and also the limitations
Author;Reviewer_1;2;1;1;"We appreciate the recommendation and comments. We corrected the above-mentioned correction as suggested by the reviewer and presented as follows,
 1H NMR (400 MHz, DMSO-d6, ppm): δ 11.43 (s, 2H), 8.34 (m, 2H), 8.28 (m, 1H), 7.65 (d, 2H, J = 4.8 Hz), 7.61 (d, 2H, J = 3.2 Hz), 7.14 (t, 2H, J = 8.8 Hz), 2.51 (s, 6H). 13C NMR (100 MHz, DMSO-d6, ppm): 159.44 (C=O), 154.55 (Ar-C), 148.91 (Ar-C), 143.22 (-C=N-), 140.48 (Ar-C), 130.06 (Ar-C), 129.44 (Ar-C), 128.20 (Ar-C), 125.75 (Ar- C), 15.32 (-CH3)."
Author;Reviewer_1;2;2;2;We appreciate the recommendation and agree with the reviewer that the computational and experimental results of antimicrobial activity differ to some extent in this part of the study and required further investigation to understand why such activity differs to the ligands by other means in the future. In this study, we successfully synthesized the novel ligands and studied its spectroscopy with other probable studies. Fortunately, we have found outstanding results during the chemo-sensor study and hopefully, we could be able to show the excellent usage of the ligands as a chemo-sensor in near future. Also, we are planning to do a fluorescence imaging study of protein-ligands.
