Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;Of course, metal vapors, nano- and micro-particles can affect the characteristics of the discharge. This is known from numerous studies of simpler and more understandable plasma objects such as glow discharge and arc. Similar studies and comparisons with known experimental data could be carried out on these objects. In this connection, the use of high-voltage pulse discharges is not justified. The authors draw an analogy with the formation of sprites, then, in my opinion, the study would be more suitable for another journal related, for example, atmospheric research.
Reviewer 1;Author;1;2;0;"The article is more descriptive in nature, there is no explanation of physical laws, but which are misleading readers. For instance:
 
 Lines 168, 169
 ""An increase in the track brightness is apparently determined by an increase in the particle charge and size due to the evaporation of metal from the surface.""
 One can agree with the influence of the particle size on the track size, but how can an increase in the particle charge affect the track glow?
 
 Lines 173-175
 «Based on the brightness of the track glow, the plasma concentration at the particle surface increases with distance from the cathode.»
 Again, it is not clear how the plasma density on the particle surface can affect the brightness of the track glow.
 
 Such inaccuracies are found throughout the text."
Reviewer 1;Author;1;3;0;In this regard, I would recommend that the authors revise the article (taking into account their colossal authority in the scientific community and the possibility of conducting more thorough experimental research) and send the article to a more specialized journal.
Reviewer 2;Author;1;1;0;The introduction section could be improved. Some sentences are not well written or convey obvious ideas. Moreover, the aim of this work is to present an overview about the discharge behavior. The introduction would benefit from adding more content and detailed review overview to this research, such as particle lifting in electrostatic discharge , Turbulence effect, Mist-containing environment, Electrode materials.
Reviewer 2;Author;1;2;0;Please describe better your experimental system, such as ignition energy.
Reviewer 2;Author;1;3;0;The choice of the electrode material should be clearly explained in the present paper.
Reviewer 2;Author;1;4;0;Please explain the mechanism of different color arcs produced by electrodes of different materials.
Reviewer 3;Author;1;1;0;most of the results provided consist in photographs of the discharges: while these are clear and descriptive, they provide a qualitative information only. A spectral analysis is given for one discharge only (discharge in air with a copper electrode): more quantitative results, such as a spectral analysis of the other discharges also, would be helpful for the comparison between the discharges produced in the lab and the ones observed in the atmosphere.
Reviewer 3;Author;1;2;0;A point that should be clarified is the choice of the gases used for the discharges. One would expect a comparison between discharges that happen in gas mixtures of similar composition. Is there any relationship between the specific choice of gases made by the authors and the composition of the atmosphere at the altitudes where the atmospheric discharges take place?
Reviewer 3;Author;1;3;0;"A couple of requests of clarification about specific parts of the text are also provided in the following.
 Page 5, line 168
 The authors state: “An increase in the track brightness is apparently determined by an increase in the particle charge and size due to the evaporation of metal from the surface.”
 The sense of this sentence is not completely clear to me. Where does the evaporation of the metal take place? It it took place on the particle surface, it should produce a reduction of its size, rather than an increase."
Reviewer 3;Author;1;4;0;"Page 6, line 218
 The authors state: “Particles of metal and its compounds with oxygen and nitrogen with a size of 500 nm and less are nonuniformly distributed on the surface of the slide”. Some data should be provided to show the elemental composition of the particles."
Author;Reviewer 1;2;1;1;Our studies have shown that the effect of metal vapors on the color of the discharge plasma is much greater in the case of a pulsed breakdown in a nonuniform electric field. This made it possible to compare with the color of various discharges occurring in the upper atmosphere (Figure 1 in the text of the article). Even with well-studied discharges, it is very difficult to obtain such results. Thus, during an arc discharge, although there is a strong evaporation of the electrodes and the ejection of particles of various sizes, the voltage across the gap is low and the discharge in metal vapors outside the high-temperature arc channel is practically absent. Under these conditions, broadband Planck radiation from the arc channel plasma is observed. In a glow discharge, the sputtering of the electrodes has a low rate, and the emission spectra of the plasma of such discharges contain atomic and molecular transitions of the gases used. In the investigated mode, metal vapors are produced and excited by a pulsed discharge.
Author;Reviewer 1;2;2;2;Plasma concentration discussions have been removed from the text because no such measurements have been made. The nature of the glow of the particles in Figure 3 corresponds to the glow of a micrometeorite that burns down in the Earth's atmosphere [13] and [http://galaxy.astron.kharkov.ua/statti/meteor.htm]. The brightness of the micrometeorite (the particle) glow increases towards the track’s end. This cannot be explained by an increase in the particle velocity, since the particle stops. This occurs after the voltage pulse action. We believe that an increase in the radiation intensity of the particle is due to its heating during deceleration on gas particles. The text of the article has been revised.
Author;Reviewer 1;2;3;3;The text of the article was finalized and the English was improved.
Author;Reviewer 2;2;1;1;The introduction of the manuscript and its text have been revised. In addition, new references have been added to the article. All changes in the text are highlighted in either yellow or red font. First of all, data describing the characteristics of the pulsed nanosecond discharge used were added and the influence of the electrode material was described in more detail. On the other hand, we should note that with a voltage pulse duration from ones to tens of nanoseconds, the experimental conditions differ significantly from the conditions of an electrostatic discharge and the creation of a foggy environment.
Author;Reviewer 2;2;2;2;The experimental system was described in more detail, and various modes of discharge ignition were analyzed.
Author;Reviewer 2;2;3;3;In our preliminary studies, as well as in the papers of other authors, it was found that during pulsed discharges of short duration, the electrode material determines the composition of the vapors that evaporate from the electrodes and diffuse into the gap, including due to shock waves and turbulence. Since under these conditions diffuse discharges, at which the voltage across the gap remains high are formed, metal vapors are excited and ionized together with gas molecules in the discharge gap. This leads to the emission of radiation at various spectral transitions of metal atoms. Only a part of these transitions has a high radiation intensity in the region of interest to researchers. Also, to obtain a high intensity of radiation, transitions of atoms in metal vapors can be used, which are populated as a result of the efficient transfer of energy from excited gas molecules and atoms. Metals, the color of the emission of vapors of which, when excited in the plasma of nanosecond discharges, corresponds to the color of high-altitude atmospheric discharges, were chosen as the material of the electrodes.
