Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;"This paper seeks to develop the notion of a Natural Social Contract (NSC) to enable transformative governance based on co-evolution. In a nutshell, to quote, the NSC “involves the fine-tuning of top-down policy and visions with important bottom-up processes (…), and takes place in a hybrid sphere, in which there is room for collaboration between governments, businesses, knowledge institutions and civil society, among others, characterized by Penta-helix models and based on multiple value creation”. Because of this collaborative, polycentric approach, the papers draw on Evolutionary Governance Theory, and develops a perspective of “co-evolutionary steering of interrelated transitions”. The paper’s aspiration is clear and laudable; yet its elaboration is wanting. My recommendation therefore leans towards a strong ‘revise and resubmit’, based on these five points."
Reviewer 1;Author;1;2;0;First, my main problem is that the paper reads as a compilation of manifestos, rather than one argumentative thread. From begin to end, the paper presents a mix of literature review and substantive argumentation, plus some examples. My recommendation is to set out a clearer agenda, in which the first part delves into the literature to explain the key issue, key concepts and key dilemmas, and a second part presents solutions and directions meeting the key questions and dilemmas. In brief, the paper warrants more focus, edge and structure.
Reviewer 1;Author;1;3;0;"A second point is the limited elaboration of the social contract, including the natural aspect. A social contract, as explained, consists of a consensual, value-based deal underpinning an institutional governance arrangement. Fig2. moreover, details many aspects. What remains unclear and implicit, however, is the form and operationalisation of such contract. How is the social contract articulated; how is consent manifested? How does one conceive and apply natural ‘design principles’ (669)? This also involves a question of scale: how do agreements at project level chime with societal notions of Social Contracts? How does a project mission contribute to a broader social contract? Much of the joining forces in the hybrid sphere between institutional domains may be primarily instrumental (pooling resources, aligning interests, preventing holdups), below the scope of an (aspired) social contract. What kind of hybrid practices gave shape to the latter? And how then is the aspect of nature taken on board?"
Reviewer 1;Author;1;4;0;A third point concerns the link between theory and practice. The paper’s general, theoretical story is very broad and ambitious, using an extensive, abstract and complex vocabulary. Much of this, moreover, is action-oriented, pointing out major carriers and direction of change. Two cases serve as quick illustrations, loosely underwriting some key statements. This presents, in my view, too much of a gap. The paper could do more to translate the general aspects of transformative governance into more specific project aspects, as an evaluative framework for debating the cases.
Reviewer 1;Author;1;5;0;"Fourth, the section on co-evolution warrants serious re-thinking. Rather than elaborating the notion and development of NSC, this section largely discusses co-evolutionary approaches, with emphasis on discursive aspects (e.g., metaphors, open concepts and master signifiers). While the section aims to uncover the generative mechanisms behind a ‘transition to a Natural Social Contract’, it lacks focus and thread. In the section, NSC is presented as a ‘master signifier’ (345) and the orientation of governance actors (536) towards the ‘well-being economy’ (Table 1); NSC is also associated with alternative business models (443) and integral and robust forms of transition (554-581); NSC is said to need horizonal governance as well as Transformative Social-Ecological Innovation (TSEI). This raises two basic problems. One, the definition and position of NSC in this conceptual medley remains vague. Two, the nature and form of evolutionary variation, selection and dynamics remain unclear. Co-evolution is now associated with all kinds of change-in-tandem, social-sustainable, different institutional actors, discursive items, etc. One wonders whether the notion of transformative change really warrant this evolutionary perspective."
Reviewer 1;Author;1;6;0;Following on the latter, my final point concerns the relation between transformative change and NSC. One the one hand, the paper trumpets collaboration, joint principles and responsibilities, mutual trust, etc. On the other, the paper also refers to vested (eg ‘carbon’) interests (38, 619), strong voters’ resistance (574), policy holdups (507) and opposition from disadvantaged groups (118). I would suggest the paper can delve deeper into the question of how the NSC can help to meet and overcome such resistances, and to bring forces of change and resistance more in line in the story.
Reviewer 1;Author;1;7;0;Source citations are sometimes unclear, as they refer to “cf.” items and lack page numbers
Reviewer 2;Author;1;1;0;However, the paper in many parts takes an extreme normative tone that weakens its scientific contribution. It is important that the authors give more emphasis on the scientific evidences of what they defend and anchor their argumentation in such evidences, whether theoretical or empirical.
Reviewer 2;Author;1;2;0;Make the problematization clearer, exploring what motivates the proposed theoretical study and in which previous studies it is anchored. In particular, it is suggested to start from a systematic review on the studies that bring together co-evolutionary governance and the issue of sustainability, discussing what is the scientific advance of the proposition put forward here and how it enriches the current debate on these issues.
Reviewer 2;Author;1;3;0;"Remove from the problematization the ""normative-prescriptive"" tone starting from questions and nuisances that justify the study and from gaps in the literature. I am referring to universal and generalist statements with a ""should be"" tone that do not fit well with a scientific article, like the one in lines 51 to 54, among many others in the article."
Reviewer 2;Author;1;4;0;Make clearer and more explicit how the article meets the proposed problematic and responds to the gaps found in the debate, including raising the limits of such proposition.
Reviewer 2;Author;1;5;0;"Further problematize the discussions/debates that are being mobilized in the article. The theoretical debates and the literature on ""social contract"", ""public governance"" and ""sustainability"" are vast and controversial. It is important that the authors also go into the challenges, the difficulties, the dilemmas in these debates. To mention just one aspect, the text makes little or no reference to the differences and nuances between the realities and contexts of the countries of the North and the South, nor to the relationship between sustainability and social inequalities or between sustainability and democracy. Only in these aspects it is possible to bring several elements that problematize the discussion and show that there is not a single path or model for building public governance that favors sustainability."
Reviewer 2;Author;1;6;0;In terms of the debate on public governance it would be important to insert the discussion of co-evolutionary governance not only ideally, but also exploring the differences between this theoretical proposition and other forms of governance already discussed in the literature as collaborative governance (Ansell and Gash, 2015), for example. Such an approach could help to better see the authors' contributions and the difference of this contribution to what has already been discussed about public governance, a debate that is nowadays quite robust.
Reviewer 2;Author;1;7;0;"Empirical cases are very relevant, but are placed as ""mere examples"" without delving into the challenges and difficulties lived in practice. In this sense, it is not clear the relationship between the propositions presented by the authors in section 4 and the empirical or even theoretical evidences presented in the article. I suggest to improve the interface between the propositions presented and what comes before in the text."
Reviewer 3;Author;1;1;0;The case at local and regional levels are well developed, but the discussion at international level seems poor, maybe the authors could exclude this mentioned focus o the Introduction
Reviewer 3;Author;1;2;0;I'll suggest a format review in the figures and their quotations, as well as the box and the table.
Author;Reviewer 1;2;1;1;Our paper has been substantially revised, and we have addressed the five suggested points for improvements by reviewer 1 (see below for more detail).
Author;Reviewer 1;2;2;2;Thanks to a substantial revision our paper now provides a clear argumentation and logical structure, with the first part delving into literature to explain the key issues and concepts, and then moving to solutions.
Author;Reviewer 1;2;3;3;We have now provided a substantive elaboration on the Natural Social Contract (see section 3), and how contract formation takes place in polycentric ways at different levels (always context-specific and path-dependent). More specifically, we have provided more detail on transformative social-ecological innovation (see also the new figure 1 on TSEI), on the mutual gains approach and institutional design principles (see new table 1).
Author;Reviewer 1;2;4;4;The line-up of the figures (no. 2, 3 and 4 above)  in our manuscript (with two new figures compared to the original manuscript) has deliberately been chosen in response to a number of comments from reviewers. The line-up moves from high abstraction level (figure  2), towards a tool for identifying options for  co-evolutionary steering (figure 3), to an example of leverage points for a specific transition path (figure 4). 
Author;Reviewer 1;2;5;5;We moved up the discussion on governance and steering and elaborated on  the generative mechanisms behind a transition to a Natural Social Contract, e.g. visualized by the TSEI framework below, with more attention on three different models for working towards transitions: collaborative governance, evolutionary steering and adaptive governance. All three deal with complexity, normativity and uncertainty in an action-oriented way and have mechanisms of self-correction and adaptation which is necessary for transformations which cannot be planned and implemented from the top, but which must find solutions to demands for participation, fairness in outcomes, unintended effects in order to remain legitimate and secure continued support from societal stakeholders. For details see section 2 on page 3-10.
Author;Reviewer 1;2;6;6;The question of how the NSC can help to meet and overcome such resistances has been addressed by diving into governance approaches that are capable of dealing with complexity, ambiguity and uncertainty, and with particular attention for multiple value creation and the mutual gains approach (e.g. in section 2). At the same time, we are careful not to present those approaches as simple solutions to those problems. 
Author;Reviewer 1;2;7;7;Has been revised
Author;Reviewer 2;2;1;1;Below we will respond to the suggestions by reviewer 2
Author;Reviewer 2;2;2;2;Section 2 on “Transformation pleas and approaches for achieving this” has been substantially revised and   we discuss three models for working towards transitions: collaborative governance, evolutionary steering and adaptive governance. All three deal with complexity, normativity and uncertainty in an action-oriented way and have mechanisms of self-correction and adaptation which is necessary for transformations which cannot be planned and implemented from the top, but which must find solutions to demands for participation, fairness in outcomes, unintended effects in order to remain legitimate and secure continued support from societal stakeholders. For details  see section 2 on page 3-10.
Author;Reviewer 2;2;3;3;"We agree that the ""normative-prescriptive"" tone and use of ""should be"" was excessive. This has been changed where appropriate. At the same time, it is unavoidable in a paper which is partly a manifesto., in the form of a call for the creation of a Natural Social Contract and for transformation-oriented forms of governance. We want to note that the governance approaches advocated have been tried and tested, yielding insights for future use. Obviously, positive and normative approaches to support actionable agendas, like ours, do not escape the yardstick of scientific evidence. The need for critical analysis and the presence of limitations to steering are acknowledged. 

Cf.  editor’s comment 3 about being normative: First of all, we would like to underline that it is ok to be normative. In the given circumstances, and for the given topic, this seems very appropriate. One of the reviewers speaks of a manifesto, and I would agree, but see it as a positive."
Author;Reviewer 2;2;4;4;The systemic leverage points for transformation offered can be used for achieving change through questions about interdependencies which can be utilised by actor coalitions interested in transformative change through sustainability transitions which are not unduly sectoral but also pay attention to issues of just transition, resilience and the overarching goal of instituting a Natural Social Contract. Achieving this requires and involves a rebalancing of society and new imaginaries (as master signifiers), such as the well-being economy and a Natural Social Contract, as important new orientations.
Author;Reviewer 2;2;5;5;We fully agree that there is not a single path or model for building public governance that favors sustainability. In this regard, we have stressed, on several occasions, that social contract formation takes place in polycentric ways at different levels (always context-specific and path-dependent).  Challenges related to sustainability, social inequalities, or public governance, regardless of whether it takes place in the North or South, call for transformation-oriented forms of governance which are capable of dealing with complexity, ambiguity, and uncertainty. 
Author;Reviewer 2;2;6;6;Section 2 on “Transformation pleas and approaches for achieving this” has been substantially revised and   we discuss three models for working towards transitions: collaborative governance (including Ansell and Gash, 2015), evolutionary steering and adaptive governance. All three deal with complexity, normativity and uncertainty in an action-oriented way and have mechanisms of self-correction and adaptation which is necessary for transformations which cannot be planned and implemented from the top, but which must find solutions to demands for participation, fairness in outcomes, unintended effects in order to remain legitimate and secure continued support from societal stakeholders. For more information see section 2 on page 3-10.
Author;Reviewer 2;2;7;7;Our line of argumentation has been revised, and examples have been reduced to examples. Thanks to many changes our paper now provides a clear argumentation and logical structure, with the first part delving into literature to explain the key issues and concepts, and then moving to solutions. In addition, the line-up of the figures (no. 2, 3 and 4 above)  in our manuscript (with two new figures compared to the original manuscript) has deliberately been chosen in response to a number of comments from reviewers. The line-up moves from high abstraction level (figure  2), towards a tool for identifying options for  co-evolutionary steering (figure 3), to an example of leverage points for a specific transition path (figure 4). 
Author;Reviewer 3;2;1;2;Format of figures and tables has been improved where appropriate.
