Side;Opponent;Round;Number;Attacks;Text
Reviewer_1;Author;1;1;0;The abstract is very confusingly written and needs a lot of editing. This is the place where the story must be told as simply and clearly as possible, and I think a lot of the abstract is confusing and hard to interpret.
Reviewer_1;Author;1;2;0;I have some theoretical questions about the applicability of these approaches outside of Korea. For technical reasons (most smart cities have less capability and are less developed than Korean ones), but especially for legal and normative reasons (concerns about surveillance, governance, cybersecurity, etc.) I think many cities and countries will not be comfortable with this approach. I think this needs some exploration.
Reviewer_1;Author;1;3;0;I'd argue that one of the areas in which Smart City applications (in particular) and urban automation (in general) have been most important during the COVID pandemic - the monitoring of sewage and wastewater for population level assessment of infection - isn't even mentioned. I think that is both a big oversight, and an opportunity for critics. I think that piece needs to be included and worked into any assessment of smart cities and pandemics. Additionally, I've included a few other pieces on COVID and smart cities.
Reviewer_1;Author;1;4;0;"“Additionally, smart city services couldn`t respond in-time series” (is this time series in the
 statistical sense? Just meaning sequential?)"
Reviewer_1;Author;1;5;0;“a method responding in-time sequential by flexibly combining
Reviewer_1;Author;1;6;0;"“Second, flexible smart city services are combined and deleted as needed to cope with COVID
 19 has 17 been summarized. Third, smart city services should only be used to cope with
 pandemic situations: 18 the healthcare-system data consists of personal information. Therefore,
 smart city services respond- 19 ing COVID-19 must exist as a flexible.”"
Reviewer_1;Author;1;7;0;"pg2) Does the use of police/telecom monitoring of patients translate out of the Korean context?
 (i.e. would it be constrained by laws and norms elsewhere?) And what are the implications of this."
Reviewer_1;Author;1;8;0;"(pg3) Tables 1 is interesting, but it’s not clear the source of the data. Is this from the literature?
 (if so, needs sourcing), or a synthesis by the authors? This may be because of the error message
 3
 in sourcing in the document I received"
Reviewer_1;Author;1;9;0;(pg4) Table 3 isn’t clear to me. What is “EA”? Not spelled out
Reviewer_1;Author;1;10;0;(pg5) Table 4 is very useful.
Reviewer_1;Author;1;11;0;"pg14) “such services should be flexibly used only during a national crisis and removed when the
 service is no longer needed.” Is this likely to happen? Are there concrete examples of such
 systems being built and operated, then just turned off? Who would oppose turning them off? (I’d
 imagine many stakeholders)"
Reviewer_1;Author;1;12;0;Smart City and COVID
Reviewer_1;Author;1;13;0;Monitoring of sewage/wastewater for COVID case estimation
Reviewer_2;Author;1;1;0;"This article advocates for better flexibility (in the sense of adding and removing when necessary)
 of smart city services and better integration between them. The authors argue that this would be
 precious to predict and fight against a pandemic, and as such they propose a smart city structure
 model. First, I have a series of concerns regarding the form. There are some phrasing issues and
 typos throughout the paper."
Reviewer_2;Author;1;2;0;"There are also many in-text reference errors with tables, which makes it hard to follow given the
 high number of tables (13!). Also, references to figures seem to include the full caption and cause
 line breaks instead of the figure number only. Please check especially the conclusion, this is
 hardly readable."
Reviewer_2;Author;1;3;0;"There are referencing issues with sections as well (e.g. line 213: “As mentioned in 0”) Finally,
 and most importantly, the format of the bibliography is highly problematic. For many references
 (e.g. [15], [22], [25]) it is impossible to retrieve the source. For many other sources, the local
 access path of the file is provided, which again prevents the reader from retrieving the source. All
 these issues could have been picked up by a simple check. Unfortunately, they are enough for me
 to recommend to reject the paper, as I consider that submitting a report of scientific quality in
 this form is unacceptable."
Reviewer_2;Author;1;4;0;"The content of the paper raises major concerns as well. In the introduction, I could not understand
 the motivation of the paper. The authors argue that the smart city services failed to be flexible
 enough to predict and fight the pandemic. However, I am lacking a concrete example of failure
 that proves the authors’ point. It is well-known that different services are hard to integrate
 together (this is not specific to the smart city), but I would have liked the authors to illustrate in
 2
 light of the pandemic context, and maybe to the context of Korea since their contribution is
 specific to this geographic context in that it integrates the 12 smart city categories of Korea and
 the healthcare phases of Korea. The contribution is not presented in the introduction, only the
 problem is."
Reviewer_2;Author;1;5;0;"The literature review is very long (it represents half of the paper) and can be significantly
 shortened as it contains few information that is actually useful to the rest of the paper. It is also
 hard to read, as it contains more tabular content than text. In Table 3, what is an EA?"
Reviewer_2;Author;1;6;0;"Table 4 presents smart city projects of several different countries. The authors than write that hese
 services have a limitation in that cannot predict and prevent transmission of threats such as
 COVID. It the threats concern COVID only, it does not really make sense, as many of the
 mentioned services simply do not have this goal (e.g. smart grid). If it goes beyond COVID, this
 is a claim that needs to be backed with a sound and transparent evaluation by the authors or
 literature."
Reviewer_2;Author;1;7;0;"Table 5 is useless in my opinion. It is well-known that many standards exist and are not used in
 every service, which causes integration issues. The authors could remove the table and mention
 1-2 standards relevant for pandemics and make the same point."
Reviewer_2;Author;1;8;0;Section 2.3 has the same title as Section 2.2.
Reviewer_2;Author;1;9;0;"It presents phased plans for pandemics. Several different plans are described, which is useless
 information for the reader. Indeed, the phases in a Texan county are of no use to understand the
 authors’ contribution. They could easily break the section down to the essential information that
 would be the WHO phases and the Korean healthcare phases, and mention that there are global
 and local plans throughout the world with different phases. Tables 8 and 9 can thus be removed.
 Table 7 is not very informative, all the phases say that actions from the previous phase should be
 continued or initiated. I have checked the online source and it mentions other aspects such as
 treatment and isolation for the recognition phase, which have not been picked up by the authors.
 A case study approach restricted to Korea would be more informative and more consistent with
 the contribution of the paper, which is as I mentioned specific to Korea."
Reviewer_2;Author;1;10;0;"Section 3, named “Main discussion”, should be renamed to be more explicit regarding what the
 reader can expect to find. I suggest e.g. “Revised model of smart city service structure”."
Reviewer_2;Author;1;11;0;"The contribution is a proposition of services such as screening people with thermal cameras and
 tracking infected people through CCTV. However, it misses a critical point of COVID. Infected
 people are in the public space without knowing that they have COVID, since contagion happens
 before symptoms appears. Once infected people have been identified, they are supposedly in
 quarantine. Do the authors propose to track everyone and then go back to the records of infected
 people to retrieve their paths and contacts? Or do the authors want to check if infected people
 are outside their home instead of in quarantine? This is not clear to me. Also, and more
 importantly, the integration and flexibility aspects are not really addressed in the end. The
 authors do not explain how the services they propose could be integrated with existing ones (e.g.
 which standards should be used) and how the services can be added or removed. This part is only
 represented as clouds in the proposed structure model but not discussed further. Therefore, it
 seems that the contribution breaks down to proposing strict tracking services which feasibility
 and acceptance by the population is not assessed."
Reviewer_2;Author;1;12;0;"My last concern is the ethical aspects of the proposed services. The authors acknowledge that
 not addressing these is a limitation of their research. In my opinion, this is more than a limitation,
 this is essential to discuss given the nature of what the authors propose."
Reviewer_2;Author;1;13;0;"In summary, my suggestions are to focus the paper on the Korean context, in an in-depth case
 study approach where authors detail more their contribution, clearly illustrate what the problem
 is and how their contribution helps solving it."
Reviewer_3;Author;1;1;0;Please always write out the full terms and than in brackets the abbreviation (lines 79-80).
Reviewer_3;Author;1;2;0;"The whole manuscript is full of ""Error! reference source..."" (e.g. line 85)"
Reviewer_3;Author;1;3;0;Line 142: lack of flexibility
Reviewer_3;Author;1;4;0;Please always explain abbreviations before use - e.g. line 149
Reviewer_3;Author;1;5;0;"Line 320: according to the introduction the COVID-19 pandemic started in 2019 and here you
 state 2020."
Reviewer_3;Author;1;6;0;Lines 352-354: here we have two times Figure 2. Moreover, please bring the text together.
Reviewer_3;Author;1;7;0;"In this source you can find a whole list of smart city technologies http://www.sinfoniasmartcities.
 eu/en/resources/d21--swot-analysis-report-of-the-refined-conceptbaseline Might be
 of interest for your work."
Author;Reviewer_1;2;1;1;"The confusingly written part has been simplified again. In addition, in order to solve the problem
 of awkward English, we have re-translated the entire sentence."
Author;Reviewer_1;2;2;2;"As your comments, Korea's smart city has technological and normative advances compared to
 other countries. However, we think that the USA and China are more developed in service than
 Korea`s (Smart city trends: A focus on 5 countries and 15 companies, Cities, 2022). Therefore,
 this paper intends to cover only general smart city technologies worldwide (Smart city trends: A
 focus on 5 countries and 15 companies, Cities 2022). We fully agree with the reviewer's
 comments that they may feel uncomfortable in other countries. After that, we will do more
 research and expand the case to other countries. Thank you very much for your comments"
Author;Reviewer_1;2;3;3;"In this paper, the monitoring of sewage and wastewater for population level assessment of
 infection mentioned in smart city applications and urban automation was added as a limitation of
 this study. In the opinion of reviewers, epidemics in cities are not simply spread by one factor.
 Therefore, various factors should be dealt with, but in this paper, only heat and movement lines,
 which were mainly dealt with in Korea. The added part is as follows."
Author;Reviewer_1;2;4;4;Additionally, smart city services could respond neither timely nor sequentially.
Author;Reviewer_1;2;5;5;"This study proposes a method for timely and sequential responses, through a flexible
 combination of the healthcare system and smart city services"
Author;Reviewer_1;2;6;6;"Second, recommendations on combining or dismissing certain smart city services, as per the
 needs of coping with COVID-19, are summarized. Third, smart city services must be utilized
 only for addressing pandemics, as data from the healthcare system consists of personal
 information. Therefore, smart city services for responding to COVID-19 must be flexible"
Author;Reviewer_1;2;7;7;"In the case of Korea, rather than finding the infected person in advance, the focus was on
 identifying and blocking the spread of the infected person. Therefore, Smart City Service checked
 the movement of the infected people by time, found close contacts in the vicinity, and took
 measures to self-quarantine immediately. As a result, the critical point of being identified before
 an infectious disease spreads was missed. However, Korea has prevented a rapid collapse of the
 medical system by slowing the rate of propagation around it, and the role of smart city services
 has been significant in this regard."
Author;Reviewer_1;2;8;8;"The source has been specified.
 - (Smart city trends: A focus on 5 countries and 15 companies, Cities, 2022)."
Author;Reviewer_1;2;9;9;"We have checked and corrected the Author's initials that you pointed out. We also Cognized that
 the expression 'EA' is a unit used only in certain countries. The 'EA' refers to the quantity, but all
 have been deleted. We sincerely apologize for the basic mistake. We will check in more detail
 later."
Author;Reviewer_1;2;10;10;Thanks for your kind comments
Author;Reviewer_1;2;11;11;"We also agree with reviewers that it's an ideal situation to use built-in services only when needed
 and turn them off when not needed. Therefore, in Korea, it is legally required to be used only
 when necessary.
 Ministry of Land, Infrastructure and Transport(Korea): “…… But the scope of data
 collected will be kept to minimum and a due procedure should be followed in acquiring the
 data. First, an epidemiological surveyor should decide whether additional collection of
 personal information is needed. If the answer is yes, the official should seek approval from
 relevant authorities to get access to the data. For example, as for the location information,
 separate permission from the National Police Agency is required.”"
