Side;Opponent;Round;Number;Attacks;Text
Reviewer 1;Author;1;1;0;The innovation of this research needs to be better explored
Reviewer 1;Author;1;2;0;"Lines 33-38: You should mention that discharge of PPCPs degrades water quality and thus it cannot be directly used for potable water and industrial applications. Cite the following references:
 Panagopoulos, A. (2021). Energetic, economic and environmental assessment of zero liquid discharge (ZLD) brackish water and seawater desalination systems. Energy Conversion and Management, 235.
 Panagopoulos, A. (2021). Techno-economic assessment of Minimal Liquid Discharge (MLD) treatment systems for saline wastewater (brine) management and treatment. Process Safety and Environmental Protection, 146, pp. 656-669. 
 Panagopoulos, A. (2021). Study and evaluation of the characteristics of saline wastewater (brine) produced by desalination and industrial plants. Environmental Science and Pollution Research, 1-14"
Reviewer 1;Author;1;3;0;How many replications you performed for your experiments?
Reviewer 1;Author;1;4;0;Conclusion: Discuss the applicability of your findings/results and future study in this field
Reviewer 1;Author;1;5;0;Conclusion: Make it as one or two paragraphs
Reviewer 1;Author;1;6;0;Language editing is recommended
Reviewer 1;Author;1;7;0;Table 1: What is the salinity (in mg/L) of the samples ?
Reviewer 2;Author;1;1;0;However, there are some mistakes in the writing of the paper.
Reviewer 3;Author;1;1;0;The title seems good, but the abstract seems to be fine. Please add one problem statement line in abstract to justify this sentence ``the long-term pilot-scale study is urged to be investigated
Reviewer 3;Author;1;2;0;Research gap should be delivered on more clear way with directed necessity for the future research work
Reviewer 3;Author;1;3;0;Introduction section must be written on more quality way, i.e., more up-to-date references addressed. Please target the specific gap such as 2015-2021 etc
Reviewer 3;Author;1;4;0;Page 1 Line 38. Please cite this reference with existing reference 3….Role of nanotechnology for design and development of cosmeceutical: application in makeup and skin care
Reviewer 3;Author;1;5;0;The novelty of the work must be clearly addressed and discussed, compare previous research with existing research findings and highlight novelty
Reviewer 3;Author;1;6;0;What is the main challenge? Why author choose this material? Please highlight in the introduction part.
Reviewer 3;Author;1;7;0;Page 2 Line 55 need a reference. Please consider these at end of this sentence……The oxidation method exhibited a fast reaction speed and high removal efficiency…(i) Role of nanomaterials in the treatment of wastewater: A review (ii) Advances and challenges in developing efficient graphene oxide-based ZnO photocatalysts for dye photo-oxidation
Reviewer 3;Author;1;8;0;The main objective of the work must be written on the more clear and more concise way at the end of introduction section.
Reviewer 3;Author;1;9;0;Please check the abbreviations of words throughout the article. All should be consistent. Please revise your paper accordingly since some issue occurs on several spots in the paper.
Reviewer 3;Author;1;10;0;Please add chemical reagents section and stated all chemical with brand specifications.
Reviewer 3;Author;1;11;0;Regarding the replications, authors confirmed that replications of experiment were carried out. However, these results are not shown in the manuscript, how many replicated were carried out by experiment? Results seem to be related to a unique experiment. Please, clarify whether the results of this document are from a single experiment or from an average resulting from replications. If replicated were carried out, the use of average data is required as well as the standard deviation in the results and figures shown throughout the manuscript. In case of showing only one replicate explain why only one is shown and include the standard deviations.
Reviewer 3;Author;1;12;0;Please use Fig. or figure? It very confusing. Article should be in one pattern. Please follow the journal guidelines. Please revise your paper accordingly since some issue occurs on several spots in the paper.
Reviewer 3;Author;1;13;0;Please provide high quality image of figure 1
Reviewer 3;Author;1;14;0;Please use one style for units such as m3/h or m3h-1 Please revise your paper accordingly since some issue occurs on several spots in the paper.
Reviewer 3;Author;1;15;0;Please add a comparative profile section to compare your results and prove how it better than previous
Reviewer 3;Author;1;16;0;Section 4 should be renamed by Conclusion and Future perspectives. Conclusion section is missing some perspective related to the future research work, quantify main research findings, highlight relevance of the work with respect to the field aspect. In the present form conclusion is very weird.
Reviewer 3;Author;1;17;0;To avoid grammar and linguistic mistakes, Major level English language should be thoroughly checked. Please revise your paper accordingly since several language issue occurs on several spots in the paper
Reviewer 3;Author;1;18;0;Reference formatting need carefully revision. All must be consistent in one formate. Please follow the journal guidelines.
Reviewer 4;Author;1;1;0;Authors should avoid abbreviations in the title and the abstract
Reviewer 4;Author;1;2;0;Authors may revise the title to include river water instead of surface water.
Reviewer 4;Author;1;3;0;References should be according to the journal format
