;Review;Annotator0: Number of argument sets;Annotator0: Number of author's arguments;Annotator0: Total number of reviewers' arguments;Annotator0: Average number of reviewers' arguments;Annotator0: Average length of argument chains;Annotator0: Number of author's admissible arguments;Annotator0: Total number of reviewers' admissible arguments;Annotator0: Average number of reviewers' admissible arguments;Annotator0: Paper in complete extension;Annotator1: Number of argument sets;Annotator1: Number of author's arguments;Annotator1: Total number of reviewers' arguments;Annotator1: Average number of reviewers' arguments;Annotator1: Average length of argument chains;Annotator1: Number of author's admissible arguments;Annotator1: Total number of reviewers' admissible arguments;Annotator1: Average number of reviewers' admissible arguments;Annotator1: Paper in complete extension
0;admsci5030125;4;17;18;6.0;2.888888888888889;16;2;0.6666666666666666;False;4;14;14;4.666666666666667;2.9285714285714284;13;1;0.3333333333333333;False
1;admsci5030148;5;43;41;10.25;3.0;43;0;0.0;True;5;36;35;8.75;3.0;36;0;0.0;True
2;admsci5040213;3;47;45;22.5;2.9583333333333335;46;2;1.0;False;3;49;49;24.5;2.888888888888889;48;6;3.0;False
3;admsci6020005;3;17;16;8.0;3.0;17;0;0.0;True;3;18;18;9.0;2.8947368421052633;17;2;1.0;False
4;agriculture12060868;4;23;22;7.333333333333333;3.0;23;0;0.0;True;4;23;22;7.333333333333333;3.0;23;0;0.0;True
5;agronomy12061433;3;14;13;6.5;3.0;14;0;0.0;True;3;27;13;6.5;3.0;27;0;0.0;True
6;ani12040482;6;80;80;16.0;2.9753086419753085;79;2;0.4;False;6;71;72;14.4;2.9722222222222223;70;2;0.4;False
7;antiox11040683;4;6;7;2.3333333333333335;2.7142857142857144;5;2;0.6666666666666666;False;4;7;5;1.6666666666666667;3.3333333333333335;5;2;0.6666666666666666;True
8;app12052642;5;19;34;8.5;2.5142857142857142;18;17;4.25;False;5;25;34;8.5;2.8378378378378377;17;22;5.5;False
9;atoms13060972;3;30;28;14.0;3.0;30;0;0.0;True;3;29;31;15.5;2.903225806451613;28;3;1.5;False
10;atoms3030433;3;21;21;10.5;2.9523809523809526;20;1;0.5;False;3;21;21;10.5;2.9523809523809526;20;1;0.5;False
11;atoms4010002;3;12;14;7.0;2.7857142857142856;11;3;1.5;False;3;12;12;6.0;2.9166666666666665;11;1;0.5;False
12;atoms4010010;4;15;15;5.0;2.933333333333333;14;1;0.3333333333333333;False;4;12;13;4.333333333333333;2.8461538461538463;11;2;0.6666666666666666;False
13;atoms4020014;3;16;16;8.0;2.8823529411764706;15;2;1.0;False;3;18;18;9.0;2.85;17;3;1.5;False
14;biom12060834;3;65;55;27.5;3.0;65;0;0.0;True;3;87;56;28.0;2.9885057471264367;86;1;0.5;False
15;biomedicines10030600;3;6;2;1.0;3.0;6;0;0.0;True;3;4;3;1.5;3.0;4;0;0.0;True
16;biotech1101004;3;23;23;11.5;2.9565217391304346;22;1;0.5;False;3;19;20;10.0;2.9;18;2;1.0;False
17;brainsci11121640;3;29;28;14.0;3.0;29;0;0.0;True;3;30;28;14.0;3.0;30;0;0.0;True
18;brainsci12060789;3;9;8;4.0;3.0;9;0;0.0;True;3;8;7;3.5;3.0;8;0;0.0;True
19;brainsci6010008;3;16;16;8.0;2.9375;15;1;0.5;False;3;17;16;8.0;2.888888888888889;16;2;1.0;False
20;brainsci6010009;3;7;6;3.0;3.0;7;0;0.0;True;3;7;6;3.0;3.0;7;0;0.0;True
21;bs5040518;5;19;17;4.25;2.9473684210526314;18;1;0.25;False;5;15;14;3.5;2.933333333333333;14;1;0.25;False
22;bs6010004;3;32;32;16.0;2.96875;31;1;0.5;False;3;18;17;8.5;3.0;18;0;0.0;True
23;buildings12040417;3;35;34;17.0;3.0;35;0;0.0;True;3;31;34;17.0;2.769230769230769;30;9;4.5;False
24;cancers14040966;3;12;11;5.5;3.0;12;0;0.0;True;3;6;5;2.5;3.0;6;0;0.0;True
25;cancers14071773;3;17;16;8.0;3.0;17;0;0.0;True;3;17;16;8.0;3.0;17;0;0.0;True
26;cancers14122959;5;33;42;10.5;2.761904761904762;32;10;2.5;False;4;30;31;10.333333333333334;2.935483870967742;29;2;0.6666666666666666;False
27;cancers14122960;4;12;8;2.6666666666666665;3.0;12;0;0.0;True;4;9;8;2.6666666666666665;3.0;9;0;0.0;True
28;cancers14122962;3;11;12;6.0;2.8333333333333335;10;2;1.0;False;3;9;8;4.0;3.0;9;0;0.0;True
29;catal12030290;4;21;22;7.333333333333333;2.909090909090909;20;2;0.6666666666666666;False;4;21;20;6.666666666666667;3.0;21;0;0.0;True
30;cells11010166;3;11;13;6.5;2.769230769230769;10;3;1.5;False;3;9;8;4.0;3.0;9;0;0.0;True
31;cosmetics2030248;4;17;16;5.333333333333333;3.0;17;0;0.0;True;4;17;16;5.333333333333333;3.0;17;0;0.0;True
32;economies3040150;3;31;32;16.0;2.9375;30;2;1.0;False;3;27;27;13.5;2.962962962962963;26;1;0.5;False
33;economies4030013;3;21;22;11.0;2.909090909090909;20;2;1.0;False;3;22;22;11.0;2.9545454545454546;21;1;0.5;False
34;electronics11050760;3;18;17;8.5;3.0;18;0;0.0;True;3;12;12;6.0;2.9166666666666665;11;1;0.5;False
35;en15031006;3;13;14;7.0;2.857142857142857;12;2;1.0;False;3;13;12;6.0;3.0;13;0;0.0;True
36;fermentation8050212;4;25;24;8.0;3.0;25;0;0.0;True;4;25;24;8.0;3.0;25;0;0.0;True
37;gels8040212;3;21;20;10.0;3.0;21;0;0.0;True;3;22;21;10.5;3.0;22;0;0.0;True
38;genes13030404;3;9;9;4.5;2.888888888888889;8;1;0.5;False;3;9;9;4.5;3.25;7;3;1.5;True
39;geosciences12010037;3;59;62;31.0;2.935483870967742;58;4;2.0;False;3;60;59;29.5;3.0;60;0;0.0;True
40;healthcare10030476;3;24;23;11.5;3.0;24;0;0.0;True;3;24;23;11.5;3.0;24;0;0.0;True
41;healthcare10040723;3;26;25;12.5;3.0;26;0;0.0;True;3;22;21;10.5;3.0;22;0;0.0;True
42;horticulturae8050412;3;42;44;22.0;2.9318181818181817;41;3;1.5;False;3;42;44;22.0;2.9318181818181817;41;3;1.5;False
43;ijerph19127332;4;34;34;11.333333333333334;2.9705882352941178;33;1;0.3333333333333333;False;4;32;31;10.333333333333334;3.0;32;0;0.0;True
44;ijms2316696;4;12;12;4.0;2.9166666666666665;11;1;0.3333333333333333;False;4;12;11;3.6666666666666665;3.0;12;0;0.0;True
45;ijms2316700;3;7;6;3.0;3.0;7;0;0.0;True;3;7;6;3.0;3.0;7;0;0.0;True
46;jcm11051247;3;11;12;6.0;2.8333333333333335;10;2;1.0;False;3;10;11;5.5;3.2222222222222223;8;4;2.0;True
47;land11030363;3;55;54;27.0;3.0;55;0;0.0;True;3;51;50;25.0;3.0;51;0;0.0;True
48;life12060901;4;19;18;6.0;3.0;19;0;0.0;True;4;17;16;5.333333333333333;3.0;17;0;0.0;True
49;life4030433;3;31;31;15.5;2.967741935483871;30;1;0.5;False;3;25;24;12.0;3.0;25;0;0.0;True
50;life4040819;3;23;22;11.0;3.0;23;0;0.0;True;3;24;23;11.5;3.0;24;0;0.0;True
51;life4041050;3;20;20;10.0;2.95;19;1;0.5;False;3;20;19;9.5;3.0;20;0;0.0;True
52;life5010050;3;19;21;10.5;2.857142857142857;18;3;1.5;False;3;18;17;8.5;3.0;18;0;0.0;True
53;life5010181;3;8;7;3.5;3.0;8;0;0.0;True;3;8;7;3.5;3.0;8;0;0.0;True
54;life5010403;3;12;11;5.5;3.0;12;0;0.0;True;3;12;11;5.5;3.0;12;0;0.0;True
55;life5010432;3;8;7;3.5;3.0;8;0;0.0;True;3;8;7;3.5;3.0;8;0;0.0;True
56;life5010949;3;58;59;29.5;2.9661016949152543;57;2;1.0;False;3;58;57;28.5;3.0;58;0;0.0;True
57;life5021101;3;21;21;10.5;2.9523809523809526;20;1;0.5;False;3;20;19;9.5;3.0;20;0;0.0;True
58;life5021427;3;3;2;1.0;3.0;3;0;0.0;True;3;3;2;1.0;3.0;3;0;0.0;True
59;life6020022;3;15;14;7.0;3.0;15;0;0.0;True;3;14;14;7.0;2.8666666666666667;13;2;1.0;False
60;life6030029;3;17;16;8.0;3.0;17;0;0.0;True;3;17;16;8.0;3.0;17;0;0.0;True
61;ma15051691;3;9;8;4.0;3.0;9;0;0.0;True;3;9;8;4.0;3.0;9;0;0.0;True
62;ma15124258;4;19;18;6.0;3.0;19;0;0.0;True;4;19;18;6.0;3.0;19;0;0.0;True
63;medicina58040502;3;12;12;6.0;2.9166666666666665;11;1;0.5;False;3;12;11;5.5;3.0;12;0;0.0;True
64;medsci4030012;3;15;16;8.0;2.875;14;2;1.0;False;3;15;15;7.5;2.933333333333333;14;1;0.5;False
65;molecules26247651;3;17;16;8.0;3.0;17;0;0.0;True;3;16;15;7.5;3.0;16;0;0.0;True
66;molecules27051656;4;26;25;8.333333333333334;3.0;26;0;0.0;True;4;22;22;7.333333333333333;2.9545454545454546;21;1;0.3333333333333333;False
67;molecules27123843;3;7;6;3.0;3.0;7;0;0.0;True;3;7;6;3.0;3.0;7;0;0.0;True
68;mr2011e15;3;10;11;5.5;2.8181818181818183;9;2;1.0;False;3;9;8;4.0;3.0;9;0;0.0;True
69;mr2011e9;3;26;26;13.0;2.9615384615384617;25;1;0.5;False;3;32;34;17.0;2.911764705882353;31;3;1.5;False
